"FR_AVSG05_017
Fecha: 	;;;;;;;;;
AVIANCA CARGO;;LOADING CONTROL SHEET;;;;Revision Date:";;;;;;;
"02-06-2022""";;;;;;;
;;;;;;Rev.: 00;
;;;;;;;
Date;;Time;12:34:00;Rute;BOG-MIA ;Aircraft Number;N336QT
Flight Number;QT4002;;;;;;
;;;;;;;
Contour;Number ULD;ULD Final Destination;Weight (KGS);Pieces;Notes;;
TT;PMC41809QT;MIA;1927;100;CONTINUACION  VUELO 4094  SCL;;
SS;PMC42831QT;MIA;3296;197;CONTINUACION  VUELO 4094  SCL;;
RR;PMC393986R;MIA;3552;200;CONTINUACION  VUELO 4094  SCL;;
PP;PMC41067QT;MIA;3341;198;CONTINUACION  VUELO 4094  SCL;;
***;;MIA;;;;;
LD1;PMC390166R;MIA;1159;245;LD PEF// SBC1;;
LD2;PMC43011QT;MIA;1756;404;LD PEF// SBC1;;
LD3;PMC43362QT;MIA;721;1;LD GCR;;
LD4;PMC42923QT;MIA;1068;227;LD PEF// FLG8;;
LD5;PMC42306QT;MIA;1419;153;CONTINUACION  VUELO 4094  SCL;;
LD6;PMC42145QT;MIA;2394;223;CONTINUACION  VUELO 4094  SCL;;
LD7;PMC41995QT;MIA;3052;170;CONTINUACION  VUELO 4094  SCL;;
LD8;PMC43875QT;MIA;1290;4;CONTINUACION  VUELO 4094  SCL;;
P9;PLA64052QT;MIA;615;45;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC41307QT;MIA;1930;483;SBS PEF// FLG8;;
SBS;PMC42408QT;MIA;2009;192;SBS PEF;;
SBS;PMC42433QT;MIA;836;2;SBS GCR// MACHO ENTRA 1 X ROMEO ;;
SBS;;MIA;;;;;
SBS;PMC43348QT;MIA;2254;116;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC43523QT;MIA;2079;310;SBS PEF// FLG8;;
SBS;PMC44139QT;MIA;2002;608;SBS PEF// FLG8;;
SBS;PMC393746R;MIA;2212;116;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC43440QT;MIA;2874;475;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC44178QT;MIA;3038;475;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC43841QT;MIA;649;128;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC41548QT;MIA;3798;211;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC40701QT;MIA;3070;170;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC42263QT;MIA;715;2;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC43061QT;MIA;2125;6;CONTINUACION  VUELO 4094  SCL;;
SBS;PMC40931QT;MIA;757;4;SBS GCR ;;
SBS;PMC42345QT;MIA;1497;4;SBS GCR ;;
SBS;PMC43237QT;MIA;1154;4;SBS GCR ;;
BULK;ESTIBA;MIA;33;2;BULK GCR // CAO RFL;;
BULK;;MIA;;;;;
BULK;;MIA;;;;;
BULK;;MIA;;;;;
FAK;;MIA;450;;KIT;;
Total;ULD´s;;59072;5475;;;
CARGO AGENT (PRINT NAME & SIGN);;;;;;;
