"FR_AVSG05_017
Fecha: 2/03/2020	";;;;;;;;;
AVIANCA CARGO;;LOADING CONTROL SHEET;;;;"Revision Date:
02-06-2022";;;
;;;;;;Rev.: 00;;;
;;;;;;;;;
Date;4-abr.-2025;Time;6:54:00;Rute;MDE-MIA;Aircraft Number;N-335QT;;
Flight Number;QT-4018;;;;;;;;
;;;;;;;;;
Contour;Number ULD;ULD Final Destination;Weight (KGS);Pieces;Notes;;;;
53;BULK;MIA;1218;229;PEF;BULK-QT;BULK-QT;;
PRL;PAJ59483QT;MIA;1842;133;PEF;BULK-QT;BULK-QT;;
PRR;PAJ59695QT;MIA;1745;213;PEF;BULK-QT;BULK-QT;;
11;PLA64030QT;MIA;937;194;PEF//B7000;P9-7000;P9-7000;;
MPR;PMC20979QT;MIA;2339;460;PEF//B7000;P9-7000;P9-7000;;
31P;PMC393556R;MIA;1680;136;PEF//B7001;LD-7001;LD-7001;;
41P;PMC41348QT;MIA;1810;105;PEF//PPQ//BAV//MIX;LD-PQ-AV;LD-PQ-AV;;
FHR;PMC41443QT;MIA;2005;214;PEF//BAV//B7610//B7000//MIX;SBS-MIX;SBS-MIX;;The guide/tab must not be bent up or down more than 2.5 cm
EFR;PMC41766QT;MIA;1897;206;PEF;BULK-QT;BULK-QT;;
12P;PMC41788QT;MIA;1356;227;PEF//B7001;LD-7001;LD-7001;;
13P;PMC41872QT;MIA;1671;287;PEF//B7000;P9-7000;P9-7000;;
RR;PMC41952QT;MIA;2960;585;PEF//B7000;P9-7000;P9-7000;;
KMR;PMC42055QT;MIA;2197;140;PEF//B7610;SBS-7610;SBS-7610;;
32P;PMC42094QT;MIA;1570;244;PEF//PPQ//B7000//MIX;LD-PQ-7000;LD-PQ-7000;;
21P;PMC42096QT;MIA;1783;319;PEF//B7000;P9-7000;P9-7000;;
22P;PMC42213QT;MIA;1685;201;PEF//B7001;LD-7001;LD-7001;;
JKR;PMC42330QT;MIA;2353;249;PEF//B7610;SBS-7610;SBS-7610;;
HJL;PMC42348QT;MIA;2231;260;PEF//B7610;SBS-7610;SBS-7610;;
BCL;PMC42371QT;MIA;1863;413;PEF;BULK-QT;BULK-QT;;
KML;PMC42522QT;MIA;2091;136;PEF//B7610;SBS-7610;SBS-7610;;
HJR;PMC42594QT;MIA;2036;209;PEF//B7610;SBS-7610;SBS-7610;;
SS;PMC42724QT;MIA;2621;473;PEF//B7000;P9-7000;P9-7000;;
FHL;PMC42735QT;MIA;1833;324;PEF;BULK-QT;BULK-QT;;
MPL;PMC42824QT;MIA;2210;381;PEF//B7000;P9-7000;P9-7000;;
ABL;PMC42935QT;MIA;1797;386;PEF;BULK-QT;BULK-QT;;
BCR;PMC43036QT;MIA;1830;490;PEF;BULK-QT;BULK-QT;;
JKL;PMC43172QT;MIA;2327;244;PEF//B7610;SBS-7610;SBS-7610;;
EFL;PMC43391QT;MIA;1860;325;PEF;BULK-QT;BULK-QT;;
ABR;PMC43406QT;MIA;1760;311;PEF;BULK-QT;BULK-QT;;
42P;PMC43415QT;MIA;1684;202;PEF//PPQ-QT//MIX;LD-PQ;LD-PQ;;
TT;PMC43487QT;MIA;2707;422;PEF//B7000;P9-7000;P9-7000;;
CEL;PMC44048QT;MIA;1995;237;PEF;BULK-QT;BULK-QT;;
CER;PMC44174QT;MIA;1880;396;PEF;BULK-QT;BULK-QT;;
52;FAK;MIA;450;0;FLIGHT AIRCRAFT KIT;;;;
;;;;;;;;;
Total;ULD´s;Total;64223;9351;;;;;
;;;;;;;;;
CARGO AGENT (SANTIAGO GIRALDO);;;;;;;;;
;;;;;;;;;
