"FR_AVSG05_017
Fecha: 2/03/2020	";;;;;;;;;
AVIANCA CARGO;;LOADING CONTROL SHEET;;;;"Revision Date:
02-06-2022";;;
;;;;;;Rev.: 00;;;
;;;;;;;;;
Date;17-mar.-2025;Time;3:35:00;Rute;MDE-MIA;Aircraft Number;N-336QT;;
Flight Number;QT-4026;;;;;;;;
;;;;;;;;;
Contour;Number ULD;ULD Final Destination;Weight (KGS);Pieces;Notes;;;;
52-53;BULK;MIA;1210;213;PEF-MIX-DRY-DGD-UN-(3480);BULK-DRY;BULK-DRY;;
MPR;PAJ206196R;MIA;1705;390;PEF ;P-1;P-1;;
PRL;PAJ208736R;MIA;1743;283;PEF-SUNBURST;LD-SF;LD-SF;;
MPL;PAJ59010QT;MIA;1890;297;PEF ;P-1;P-1;;
ABR;PAJ59524QT;MIA;1396;323;DRY;SBS-DRY;SBS-DRY;;
PRR;PAJ59713QT;MIA;1530;383;PEF ;P-1;P-1;;
11;PLA64125QT;MIA;1055;171;PEF-SUNBURST;LD-SF;LD-SF;;
FHR;PMC390486R;MIA;1560;274;PEF ;P-1;P-1;;The guide/tab must not be bent up or down more than 2.5 cm
42P;PMC40730QT;MIA;1480;293;PEF-PPQ;LD/PQ;LD/PQ;;
KML;PMC40753QT;MIA;1688;287;PEF ;P-1;P-1;;
41P;PMC41182QT;MIA;1397;280;PEF-SUNBURST;LD-SF;LD-SF;;
TT;PMC41621QT;MIA;1841;363;PEF ;P-1;P-1;;
BCL;PMC41809QT;MIA;668;95;DRY;SBS-CLO;SBS-CLO;;
CEL;PMC41994QT;MIA;1580;334;PEF ;P-1;P-1;;
RR;PMC42277QT;MIA;2296;150;PEF ;P-1;P-1;;
JKL;PMC42526QT;MIA;1781;160;DRY;SBS-CLO;SBS-CLO;;
HJL;PMC42632QT;MIA;1300;87;DRY;SBS-CLO;SBS-CLO;;
FHL;PMC42728QT;MIA;1373;307;PEF ;P-1;P-1;;
CER;PMC42873QT;MIA;1250;296;PEF ;P-1;P-1;;
31P;PMC42879QT;MIA;1495;205;PEF ;P-1;P-1;;
22P;PMC42892QT;MIA;1500;393;PEF ;P-1;P-1;;
SS;PMC43262QT;MIA;1905;437;PEF ;P-1;P-1;;
HJR;PMC43540QT;MIA;758;134;DRY;SBS-CLO;SBS-CLO;;
21P;PMC43510QT;MIA;1412;219;PEF-SUNBURST;LD-SF;LD-SF;;
13P;PMC43543QT;MIA;1500;272;PEF ;P-1;P-1;;
ABL;PMC43866QT;MIA;712;135;DRY;SBS-CLO;SBS-CLO;;
JKR;PMC43885QT;MIA;1649;280;DRY;SBS-CLO;SBS-CLO;;
KMR;PMC43959QT;MIA;1531;240;PEF ;P-1;P-1;;
12P;PMC44030QT;MIA;1580;333;PEF ;P-1;P-1;;
32P;PMC44152QT;MIA;1365;212;PEF-SUNBURST;LD-SF;LD-SF;;
BCR;PMC44176QT;MIA;700;127;DRY;SBS-CLO;SBS-CLO;;
EF;PMH37024QT;MIA;5210;1;ENGINE-UN-(3528);CENTRAL-DR;CENTRAL-DR;;
FAK;;MIA;450;;FAK;;;;
;;MIA;;;;;;;
;;;;;;;;;
Total;ULD´s;Total;50510;7974;;;;;
;;;;;;;;;
CARGO AGENT (Edison Valencia);;;;;;;;;
;;;;;;;;;
