Kg_Fuel;Inner Tank LH X-arm;Inner Tank LH Y-arm;Moment_X_ILH;Moment_Y_ILH;Inner Tank RH X-arm;Inner Tank RH Y-arm;Moment_X_IRH;Moment_Y_IRH
5;30,60290005;;153,0145003;86,19878125;30,60290005;-3,44795125;153,0145003;0
10;30,6028002;;306,028002;172,46025;30,6028002;-3,449205;306,028002;0
15;30,60270045;;459,0405068;258,7845938;30,60270045;-3,45046125;459,0405068;0
20;30,6026008;;612,052016;345,172;30,6026008;-3,45172;612,052016;0
25;30,60250125;;765,0625313;431,6226563;30,60250125;-3,45298125;765,0625313;0
30;30,6024018;;918,072054;518,13675;30,6024018;-3,454245;918,072054;0
35;30,60230245;;1071,080586;604,7144688;30,60230245;-3,45551125;1071,080586;0
40;30,6022032;;1224,088128;691,356;30,6022032;-3,45678;1224,088128;0
45;30,60210405;;1377,094682;778,0615313;30,60210405;-3,45805125;1377,094682;0
50;30,602005;;1530,10025;864,83125;30,602005;-3,459325;1530,10025;0
55;30,60190605;;1683,104833;951,6653438;30,60190605;-3,46060125;1683,104833;0
60;30,6018072;;1836,108432;1038,564;30,6018072;-3,46188;1836,108432;0
65;30,60170845;;1989,111049;1125,527406;30,60170845;-3,46316125;1989,111049;0
70;30,6016098;;2142,112686;1212,55575;30,6016098;-3,464445;2142,112686;0
75;30,60151125;;2295,113344;1299,649219;30,60151125;-3,46573125;2295,113344;0
80;30,6014128;;2448,113024;1386,808;30,6014128;-3,46702;2448,113024;0
85;30,60131445;;2601,111728;1474,032281;30,60131445;-3,46831125;2601,111728;0
90;30,6012162;;2754,109458;1561,32225;30,6012162;-3,469605;2754,109458;0
95;30,60111805;;2907,106215;1648,678094;30,60111805;-3,47090125;2907,106215;0
100;30,60102;;3060,102;1736,1;30,60102;-3,4722;3060,102;0
105;30,60092205;;3213,096815;1823,588156;30,60092205;-3,47350125;3213,096815;0
110;30,6008242;;3366,090662;1911,14275;30,6008242;-3,474805;3366,090662;0
115;30,60072645;;3519,083542;1998,763969;30,60072645;-3,47611125;3519,083542;0
120;30,6006288;;3672,075456;2086,452;30,6006288;-3,47742;3672,075456;0
125;30,60053125;;3825,066406;2174,207031;30,60053125;-3,47873125;3825,066406;0
130;30,6004338;;3978,056394;2262,02925;30,6004338;-3,480045;3978,056394;0
135;30,60033645;;4131,045421;2349,918844;30,60033645;-3,48136125;4131,045421;0
140;30,6002392;;4284,033488;2437,876;30,6002392;-3,48268;4284,033488;0
145;30,60014205;;4437,020597;2525,900906;30,60014205;-3,48400125;4437,020597;0
150;30,600045;;4590,00675;2613,99375;30,600045;-3,485325;4590,00675;0
155;30,59994805;;4742,991948;2702,154719;30,59994805;-3,48665125;4742,991948;0
160;30,5998512;;4895,976192;2790,384;30,5998512;-3,48798;4895,976192;0
165;30,59975445;;5048,959484;2878,681781;30,59975445;-3,48931125;5048,959484;0
170;30,5996578;;5201,941826;2967,04825;30,5996578;-3,490645;5201,941826;0
175;30,59956125;;5354,923219;3055,483594;30,59956125;-3,49198125;5354,923219;0
180;30,5994648;;5507,903664;3143,988;30,5994648;-3,49332;5507,903664;0
185;30,59936845;;5660,883163;3232,561656;30,59936845;-3,49466125;5660,883163;0
190;30,5992722;;5813,861718;3321,20475;30,5992722;-3,496005;5813,861718;0
195;30,59917605;;5966,83933;3409,917469;30,59917605;-3,49735125;5966,83933;0
