Kg_Fuel;Outer Tank LH X-arm;Outer Tank LH Y-arm;Moment_X_OLH;Moment_Y_OLH;Outer Tank RH X-arm;Outer Tank RH Y-arm;Moment_X_ORH;Moment_Y_ORH
5;37,313;18,001;186,565;450,025;37,313;-18,001;186,565;-450,025
10;37,315;18,001;373,15;900,05;37,315;-18,001;373,15;-900,05
15;37,317;18,001;559,755;1350,075;37,317;-18,001;559,755;-1350,075
20;37,319;18,001;746,38;1800,1;37,319;-18,001;746,38;-1800,1
25;37,321;18,001;933,025;2250,125;37,321;-18,001;933,025;-2250,125
30;37,323;18,001;1119,69;2700,15;37,323;-18,001;1119,69;-2700,15
35;37,325;18,001;1306,375;3150,175;37,325;-18,001;1306,375;-3150,175
40;37,327;18,001;1493,08;3600,2;37,327;-18,001;1493,08;-3600,2
45;37,329;18,001;1679,805;4050,225;37,329;-18,001;1679,805;-4050,225
50;37,331;18,001;1866,55;4500,25;37,331;-18,001;1866,55;-4500,25
55;37,333;18,001;2053,315;4950,275;37,333;-18,001;2053,315;-4950,275
60;37,335;18,001;2240,1;5400,3;37,335;-18,001;2240,1;-5400,3
65;37,337;18,001;2426,905;5850,325;37,337;-18,001;2426,905;-5850,325
70;37,339;18,001;2613,73;6300,35;37,339;-18,001;2613,73;-6300,35
75;37,341;18,001;2800,575;6750,375;37,341;-18,001;2800,575;-6750,375
80;37,343;18,001;2987,44;7200,4;37,343;-18,001;2987,44;-7200,4
85;37,345;18,001;3174,325;7650,425;37,345;-18,001;3174,325;-7650,425
90;37,347;18,001;3361,23;8100,45;37,347;-18,001;3361,23;-8100,45
95;37,349;18,001;3548,155;8550,475;37,349;-18,001;3548,155;-8550,475
100;37,351;18,001;3735,1;9000,5;37,351;-18,001;3735,1;-9000,5
105;37,353;18,001;3922,065;9450,525;37,353;-18,001;3922,065;-9450,525
110;37,355;18,001;4109,05;9900,55;37,355;-18,001;4109,05;-9900,55
115;37,357;18,001;4296,055;10350,575;37,357;-18,001;4296,055;-10350,575
120;37,359;18,001;4483,08;10800,6;37,359;-18,001;4483,08;-10800,6
125;37,361;18,001;4670,125;11250,625;37,361;-18,001;4670,125;-11250,625
130;37,363;18,001;4857,19;11700,65;37,363;-18,001;4857,19;-11700,65
135;37,365;18,001;5044,275;12150,675;37,365;-18,001;5044,275;-12150,675
140;37,367;18,001;5231,38;12600,7;37,367;-18,001;5231,38;-12600,7
145;37,369;18,001;5418,505;13050,725;37,369;-18,001;5418,505;-13050,725
150;37,371;18,001;5605,65;13500,75;37,371;-18,001;5605,65;-13500,75
155;37,373;18,001;5792,815;13950,775;37,373;-18,001;5792,815;-13950,775
160;37,375;18,001;5980;14400,8;37,375;-18,001;5980;-14400,8
165;37,377;18,001;6167,205;14850,825;37,377;-18,001;6167,205;-14850,825
170;37,379;18,001;6354,43;15300,85;37,379;-18,001;6354,43;-15300,85
175;37,381;18,001;6541,675;15750,875;37,381;-18,001;6541,675;-15750,875
180;37,383;18,001;6728,94;16200,9;37,383;-18,001;6728,94;-16200,9
185;37,385;18,001;6916,225;16650,925;37,385;-18,001;6916,225;-16650,925
190;37,387;18,001;7103,53;17100,95;37,387;-18,001;7103,53;-17100,95
195;37,389;18,001;7290,855;17550,975;37,389;-18,001;7290,855;-17550,975
200;37,391;18,001;7478,2;18001;37,391;-18,001;7478,2;-18001
205;37,393;18,001;7665,565;18451,025;37,393;-18,001;7665,565;-18451,025
210;37,395;18,001;7852,95;18901,05;37,395;-18,001;7852,95;-18901,05
215;37,397;18,001;8040,355;19351,075;37,397;-18,001;8040,355;-19351,075
220;37,399;18,001;8227,78;19801,1;37,399;-18,001;8227,78;-19801,1
225;37,401;18,001;8415,225;20251,125;37,401;-18,001;8415,225;-20251,125
230;37,403;18,001;8602,69;20701,15;37,403;-18,001;8602,69;-20701,15
235;37,405;18,001;8790,175;21151,175;37,405;-18,001;8790,175;-21151,175
240;37,407;18,001;8977,68;21601,2;37,407;-18,001;8977,68;-21601,2
245;37,409;18,001;9165,205;22051,225;37,409;-18,001;9165,205;-22051,225
250;37,411;18,001;9352,75;22501,25;37,411;-18,001;9352,75;-22501,25
255;37,413;18,001;9540,315;22951,275;37,413;-18,001;9540,315;-22951,275
260;37,415;18,001;9727,9;23401,3;37,415;-18,001;9727,9;-23401,3
265;37,417;18,001;9915,505;23851,325;37,417;-18,001;9915,505;-23851,325
270;37,419;18,001;10103,13;24301,35;37,419;-18,001;10103,13;-24301,35
275;37,421;18,001;10290,775;24751,375;37,421;-18,001;10290,775;-24751,375
280;37,423;18,001;10478,44;25201,4;37,423;-18,001;10478,44;-25201,4
285;37,425;18,001;10666,125;25651,425;37,425;-18,001;10666,125;-25651,425
290;37,427;18,001;10853,83;26101,45;37,427;-18,001;10853,83;-26101,45
295;37,429;18,001;11041,555;26551,475;37,429;-18,001;11041,555;-26551,475
300;37,431;18,001;11229,3;27001,5;37,431;-18,001;11229,3;-27001,5
305;37,433;18,001;11417,065;27451,525;37,433;-18,001;11417,065;-27451,525
310;37,435;18,001;11604,85;27901,55;37,435;-18,001;11604,85;-27901,55
315;37,437;18,001;11792,655;28351,575;37,437;-18,001;11792,655;-28351,575
320;37,439;18,001;11980,48;28801,6;37,439;-18,001;11980,48;-28801,6
325;37,441;18,001;12168,325;29251,625;37,441;-18,001;12168,325;-29251,625
330;37,443;18,001;12356,19;29701,65;37,443;-18,001;12356,19;-29701,65
335;37,445;18,001;12544,075;30151,675;37,445;-18,001;12544,075;-30151,675
340;37,447;18,001;12731,98;30601,7;37,447;-18,001;12731,98;-30601,7
345;37,449;18,001;12919,905;31051,725;37,449;-18,001;12919,905;-31051,725
350;37,451;18,001;13107,85;31501,75;37,451;-18,001;13107,85;-31501,75
355;37,453;18,001;13295,815;31951,775;37,453;-18,001;13295,815;-31951,775
360;37,455;18,001;13483,8;32401,8;37,455;-18,001;13483,8;-32401,8
365;37,457;18,001;13671,805;32851,825;37,457;-18,001;13671,805;-32851,825
370;37,459;18,001;13859,83;33301,85;37,459;-18,001;13859,83;-33301,85
375;37,461;18,001;14047,875;33751,875;37,461;-18,001;14047,875;-33751,875
380;37,463;18,001;14235,94;34201,9;37,463;-18,001;14235,94;-34201,9
385;37,465;18,001;14424,025;34651,925;37,465;-18,001;14424,025;-34651,925
390;37,467;18,001;14612,13;35101,95;37,467;-18,001;14612,13;-35101,95
395;37,469;18,001;14800,255;35551,975;37,469;-18,001;14800,255;-35551,975
400;37,471;18,001;14988,4;36002;37,471;-18,001;14988,4;-36002
405;37,473;18,001;15176,565;36452,025;37,473;-18,001;15176,565;-36452,025
410;37,475;18,001;15364,75;36902,05;37,475;-18,001;15364,75;-36902,05
415;37,477;18,001;15552,955;37352,075;37,477;-18,001;15552,955;-37352,075
420;37,479;18,001;15741,18;37802,1;37,479;-18,001;15741,18;-37802,1
425;37,481;18,001;15929,425;38252,125;37,481;-18,001;15929,425;-38252,125
430;37,483;18,001;16117,69;38702,15;37,483;-18,001;16117,69;-38702,15
435;37,485;18,001;16305,975;39152,175;37,485;-18,001;16305,975;-39152,175
440;37,487;18,001;16494,28;39602,2;37,487;-18,001;16494,28;-39602,2
445;37,489;18,001;16682,605;40052,225;37,489;-18,001;16682,605;-40052,225
450;37,491;18,001;16870,95;40502,25;37,491;-18,001;16870,95;-40502,25
455;37,493;18,001;17059,315;40952,275;37,493;-18,001;17059,315;-40952,275
460;37,495;18,001;17247,7;41402,3;37,495;-18,001;17247,7;-41402,3
465;37,497;18,001;17436,105;41852,325;37,497;-18,001;17436,105;-41852,325
470;37,499;18,001;17624,53;42302,35;37,499;-18,001;17624,53;-42302,35
475;37,501;18,001;17812,975;42752,375;37,501;-18,001;17812,975;-42752,375
480;37,503;18,001;18001,44;43202,4;37,503;-18,001;18001,44;-43202,4
485;37,505;18,001;18189,925;43652,425;37,505;-18,001;18189,925;-43652,425
490;37,507;18,001;18378,43;44102,45;37,507;-18,001;18378,43;-44102,45
495;37,509;18,001;18566,955;44552,475;37,509;-18,001;18566,955;-44552,475
500;37,511;18,001;18755,5;45002,5;37,511;-18,001;18755,5;-45002,5
505;37,513;18,001;18944,065;45452,525;37,513;-18,001;18944,065;-45452,525
510;37,515;18,001;19132,65;45902,55;37,515;-18,001;19132,65;-45902,55
515;37,517;18,001;19321,255;46352,575;37,517;-18,001;19321,255;-46352,575
520;37,519;18,001;19509,88;46802,6;37,519;-18,001;19509,88;-46802,6
525;37,521;18,001;19698,525;47252,625;37,521;-18,001;19698,525;-47252,625
530;37,523;18,001;19887,19;47702,65;37,523;-18,001;19887,19;-47702,65
535;37,525;18,001;20075,875;48152,675;37,525;-18,001;20075,875;-48152,675
540;37,527;18,001;20264,58;48602,7;37,527;-18,001;20264,58;-48602,7
545;37,529;18,001;20453,305;49052,725;37,529;-18,001;20453,305;-49052,725
550;37,531;18,001;20642,05;49502,75;37,531;-18,001;20642,05;-49502,75
555;37,533;18,001;20830,815;49952,775;37,533;-18,001;20830,815;-49952,775
560;37,535;18,001;21019,6;50402,8;37,535;-18,001;21019,6;-50402,8
565;37,537;18,001;21208,405;50852,825;37,537;-18,001;21208,405;-50852,825
570;37,539;18,001;21397,23;51302,85;37,539;-18,001;21397,23;-51302,85
575;37,541;18,001;21586,075;51302,85;37,541;-18,001;21586,075;-51302,85
580;37,543;18,001;21774,94;51302,85;37,543;-18,001;21774,94;-51302,85
585;37,545;18,001;21963,825;51302,85;37,545;-18,001;21963,825;-51302,85
590;37,547;18,001;22152,73;51302,85;37,547;-18,001;22152,73;-51302,85
595;37,549;18,001;22341,655;51302,85;37,549;-18,001;22341,655;-51302,85
600;37,551;18,001;22530,6;51302,85;37,551;-18,001;22530,6;-51302,85
605;37,553;18,001;22719,565;51302,85;37,553;-18,001;22719,565;-51302,85
610;37,555;18,001;22908,55;51302,85;37,555;-18,001;22908,55;-51302,85
615;37,557;18,001;23097,555;51302,85;37,557;-18,001;23097,555;-51302,85
620;37,559;18,001;23286,58;51302,85;37,559;-18,001;23286,58;-51302,85
625;37,561;18,001;23475,625;51302,85;37,561;-18,001;23475,625;-51302,85
630;37,563;18,001;23664,69;51302,85;37,563;-18,001;23664,69;-51302,85
635;37,565;18,001;23853,775;51302,85;37,565;-18,001;23853,775;-51302,85
640;37,567;18,001;24042,88;51302,85;37,567;-18,001;24042,88;-51302,85
645;37,569;18,001;24232,005;51302,85;37,569;-18,001;24232,005;-51302,85
650;37,571;18,001;24421,15;51302,85;37,571;-18,001;24421,15;-51302,85
655;37,573;18,001;24610,315;51302,85;37,573;-18,001;24610,315;-51302,85
660;37,575;18,001;24799,5;51302,85;37,575;-18,001;24799,5;-51302,85
665;37,577;18,001;24988,705;51302,85;37,577;-18,001;24988,705;-51302,85
670;37,579;18,001;25177,93;51302,85;37,579;-18,001;25177,93;-51302,85
675;37,581;18,001;25367,175;51302,85;37,581;-18,001;25367,175;-51302,85
680;37,583;18,001;25556,44;51302,85;37,583;-18,001;25556,44;-51302,85
685;37,585;18,001;25745,725;51302,85;37,585;-18,001;25745,725;-51302,85
690;37,587;18,001;25935,03;51302,85;37,587;-18,001;25935,03;-51302,85
695;37,589;18,001;26124,355;51302,85;37,589;-18,001;26124,355;-51302,85
700;37,591;18,001;26313,7;51302,85;37,591;-18,001;26313,7;-51302,85
705;37,593;18,001;26503,065;51302,85;37,593;-18,001;26503,065;-51302,85
710;37,595;18,001;26692,45;51302,85;37,595;-18,001;26692,45;-51302,85
715;37,597;18,001;26881,855;51302,85;37,597;-18,001;26881,855;-51302,85
720;37,599;18,001;27071,28;51302,85;37,599;-18,001;27071,28;-51302,85
725;37,601;18,001;27260,725;51302,85;37,601;-18,001;27260,725;-51302,85
730;37,603;18,001;27450,19;51302,85;37,603;-18,001;27450,19;-51302,85
735;37,605;18,001;27639,675;51302,85;37,605;-18,001;27639,675;-51302,85
740;37,607;18,001;27829,18;51302,85;37,607;-18,001;27829,18;-51302,85
745;37,609;18,001;28018,705;51302,85;37,609;-18,001;28018,705;-51302,85
750;37,611;18,001;28208,25;51302,85;37,611;-18,001;28208,25;-51302,85
755;37,613;18,001;28397,815;51302,85;37,613;-18,001;28397,815;-51302,85
760;37,615;18,001;28587,4;51302,85;37,615;-18,001;28587,4;-51302,85
765;37,617;18,001;28777,005;51302,85;37,617;-18,001;28777,005;-51302,85
770;37,619;18,001;28966,63;51302,85;37,619;-18,001;28966,63;-51302,85
775;37,621;18,001;29156,275;51302,85;37,621;-18,001;29156,275;-51302,85
780;37,623;18,001;29345,94;51302,85;37,623;-18,001;29345,94;-51302,85
785;37,625;18,001;29535,625;51302,85;37,625;-18,001;29535,625;-51302,85
790;37,627;18,001;29725,33;51302,85;37,627;-18,001;29725,33;-51302,85
795;37,629;18,001;29915,055;51302,85;37,629;-18,001;29915,055;-51302,85
800;37,631;18,001;30104,8;51302,85;37,631;-18,001;30104,8;-51302,85
805;37,633;18,001;30294,565;51302,85;37,633;-18,001;30294,565;-51302,85
810;37,635;18,001;30484,35;51302,85;37,635;-18,001;30484,35;-51302,85
815;37,637;18,001;30674,155;51302,85;37,637;-18,001;30674,155;-51302,85
820;37,639;18,001;30863,98;51302,85;37,639;-18,001;30863,98;-51302,85
825;37,641;18,001;31053,825;51302,85;37,641;-18,001;31053,825;-51302,85
830;37,643;18,001;31243,69;51302,85;37,643;-18,001;31243,69;-51302,85
835;37,645;18,001;31433,575;51302,85;37,645;-18,001;31433,575;-51302,85
840;37,647;18,001;31623,48;51302,85;37,647;-18,001;31623,48;-51302,85
845;37,649;18,001;31813,405;51302,85;37,649;-18,001;31813,405;-51302,85
850;37,651;18,001;32003,35;51302,85;37,651;-18,001;32003,35;-51302,85
855;37,653;18,001;32193,315;51302,85;37,653;-18,001;32193,315;-51302,85
860;37,655;18,001;32383,3;51302,85;37,655;-18,001;32383,3;-51302,85
865;37,657;18,001;32573,305;51302,85;37,657;-18,001;32573,305;-51302,85
870;37,659;18,001;32763,33;51302,85;37,659;-18,001;32763,33;-51302,85
875;37,661;18,001;32953,375;51302,85;37,661;-18,001;32953,375;-51302,85
880;37,663;18,001;33143,44;51302,85;37,663;-18,001;33143,44;-51302,85
885;37,665;18,001;33333,525;51302,85;37,665;-18,001;33333,525;-51302,85
890;37,667;18,001;33523,63;51302,85;37,667;-18,001;33523,63;-51302,85
895;37,669;18,001;33713,755;51302,85;37,669;-18,001;33713,755;-51302,85
900;37,671;18,001;33903,9;51302,85;37,671;-18,001;33903,9;-51302,85
905;37,673;18,0114375;34094,065;51332,59688;37,673;-18,0110625;34094,065;-51331,52813
910;37,675;18,02275;34284,25;51364,8375;37,675;-18,02125;34284,25;-51360,5625
915;37,677;18,0349375;34474,455;51399,57188;37,677;-18,0315625;34474,455;-51389,95313
920;37,679;18,048;34664,68;51436,8;37,679;-18,042;34664,68;-51419,7
925;37,681;18,0619375;34854,925;51476,52188;37,681;-18,0525625;34854,925;-51449,80313
930;37,683;18,07675;35045,19;51518,7375;37,683;-18,06325;35045,19;-51480,2625
935;37,685;18,0924375;35235,475;51563,44688;37,685;-18,0740625;35235,475;-51511,07813
940;37,687;18,109;35425,78;51610,65;37,687;-18,085;35425,78;-51542,25
945;37,689;18,1264375;35616,105;51660,34688;37,689;-18,0960625;35616,105;-51573,77813
950;37,691;18,14475;35806,45;51712,5375;37,691;-18,10725;35806,45;-51605,6625
955;37,693;18,1639375;35996,815;51767,22188;37,693;-18,1185625;35996,815;-51637,90313
960;37,695;18,184;36187,2;51824,4;37,695;-18,13;36187,2;-51670,5
965;37,697;18,2049375;36377,605;51884,07188;37,697;-18,1415625;36377,605;-51703,45313
970;37,699;18,22675;36568,03;51946,2375;37,699;-18,15325;36568,03;-51736,7625
975;37,701;18,2494375;36758,475;52010,89688;37,701;-18,1650625;36758,475;-51770,42813
980;37,703;18,273;36948,94;52078,05;37,703;-18,177;36948,94;-51804,45
985;37,705;18,2974375;37139,425;52147,69688;37,705;-18,1890625;37139,425;-51838,82813
990;37,707;18,32275;37329,93;52219,8375;37,707;-18,20125;37329,93;-51873,5625
995;37,709;18,3489375;37520,455;52294,47188;37,709;-18,2135625;37520,455;-51908,65313
1000;37,711;18,376;37711;52371,6;37,711;-18,226;37711;-51944,1
1005;37,713;18,4039375;37901,565;52451,22188;37,713;-18,2385625;37901,565;-51979,90313
1010;37,715;18,43275;38092,15;52533,3375;37,715;-18,25125;38092,15;-52016,0625
1015;37,717;18,4624375;38282,755;52617,94688;37,717;-18,2640625;38282,755;-52052,57813
1020;37,719;18,493;38473,38;52705,05;37,719;-18,277;38473,38;-52089,45
1025;37,721;18,5244375;38664,025;52794,64688;37,721;-18,2900625;38664,025;-52126,67813
1030;37,723;18,55675;38854,69;52886,7375;37,723;-18,30325;38854,69;-52164,2625
1035;37,725;18,5899375;39045,375;52981,32188;37,725;-18,3165625;39045,375;-52202,20313
1040;37,727;18,624;39236,08;53078,4;37,727;-18,33;39236,08;-52240,5
1045;37,729;18,6589375;39426,805;53177,97188;37,729;-18,3435625;39426,805;-52279,15313
1050;37,731;18,69475;39617,55;53280,0375;37,731;-18,35725;39617,55;-52318,1625
1055;37,733;18,7314375;39808,315;53384,59688;37,733;-18,3710625;39808,315;-52357,52813
1060;37,735;18,769;39999,1;53491,65;37,735;-18,385;39999,1;-52397,25
1065;37,737;18,8074375;40189,905;53601,19688;37,737;-18,3990625;40189,905;-52437,32813
1070;37,739;18,84675;40380,73;53713,2375;37,739;-18,41325;40380,73;-52477,7625
1075;37,741;18,8869375;40571,575;53827,77188;37,741;-18,4275625;40571,575;-52518,55313
1080;37,743;18,928;40762,44;53944,8;37,743;-18,442;40762,44;-52559,7
1085;37,745;18,9699375;40953,325;54064,32188;37,745;-18,4565625;40953,325;-52601,20313
1090;37,747;19,01275;41144,23;54186,3375;37,747;-18,47125;41144,23;-52643,0625
1095;37,749;19,0564375;41335,155;54310,84688;37,749;-18,4860625;41335,155;-52685,27813
1100;37,751;19,101;41526,1;54437,85;37,751;-18,501;41526,1;-52727,85
1105;37,753;19,1464375;41717,065;54567,34688;37,753;-18,5160625;41717,065;-52770,77813
1110;37,755;19,19275;41908,05;54699,3375;37,755;-18,53125;41908,05;-52814,0625
1115;37,757;19,2399375;42099,055;54833,82188;37,757;-18,5465625;42099,055;-52857,70313
1120;37,759;19,288;42290,08;54970,8;37,759;-18,562;42290,08;-52901,7
1125;37,761;19,3369375;42481,125;55110,27188;37,761;-18,5775625;42481,125;-52946,05313
1130;37,763;19,38675;42672,19;55252,2375;37,763;-18,59325;42672,19;-52990,7625
1135;37,765;19,4374375;42863,275;55396,69688;37,765;-18,6090625;42863,275;-53035,82813
1140;37,767;19,489;43054,38;55543,65;37,767;-18,625;43054,38;-53081,25
1145;37,769;19,5414375;43245,505;55693,09688;37,769;-18,6410625;43245,505;-53127,02813
1150;37,771;19,59475;43436,65;55845,0375;37,771;-18,65725;43436,65;-53173,1625
1155;37,773;19,6489375;43627,815;55999,47188;37,773;-18,6735625;43627,815;-53219,65313
1160;37,775;19,704;43819;56156,4;37,775;-18,69;43819;-53266,5
1165;37,777;19,7599375;44010,205;56315,82188;37,777;-18,7065625;44010,205;-53313,70313
1170;37,779;19,81675;44201,43;56477,7375;37,779;-18,72325;44201,43;-53361,2625
1175;37,781;19,8744375;44392,675;56642,14688;37,781;-18,7400625;44392,675;-53409,17813
1180;37,783;19,933;44583,94;56809,05;37,783;-18,757;44583,94;-53457,45
1185;37,785;19,9924375;44775,225;56978,44688;37,785;-18,7740625;44775,225;-53506,07813
1190;37,787;20,05275;44966,53;57150,3375;37,787;-18,79125;44966,53;-53555,0625
1195;37,789;20,1139375;45157,855;57324,72188;37,789;-18,8085625;45157,855;-53604,40313
1200;37,791;20,176;45349,2;57501,6;37,791;-18,826;45349,2;-53654,1
1205;37,793;20,2389375;45540,565;57680,97188;37,793;-18,8435625;45540,565;-53704,15313
1210;37,795;20,30275;45731,95;57862,8375;37,795;-18,86125;45731,95;-53754,5625
1215;37,797;20,3674375;45923,355;58047,19688;37,797;-18,8790625;45923,355;-53805,32813
1220;37,799;20,433;46114,78;58234,05;37,799;-18,897;46114,78;-53856,45
1225;37,801;20,4994375;46306,225;58423,39688;37,801;-18,9150625;46306,225;-53907,92813
1230;37,803;20,56675;46497,69;58615,2375;37,803;-18,93325;46497,69;-53959,7625
1235;37,805;20,6349375;46689,175;58809,57188;37,805;-18,9515625;46689,175;-54011,95313
1240;37,807;20,704;46880,68;59006,4;37,807;-18,97;46880,68;-54064,5
1245;37,809;20,7739375;47072,205;59205,72188;37,809;-18,9885625;47072,205;-54117,40313
1250;37,811;20,84475;47263,75;59407,5375;37,811;-19,00725;47263,75;-54170,6625
1255;37,813;20,9164375;47455,315;59611,84688;37,813;-19,0260625;47455,315;-54224,27813
1260;37,815;20,989;47646,9;59818,65;37,815;-19,045;47646,9;-54278,25
1265;37,817;21,0624375;47838,505;60027,94688;37,817;-19,0640625;47838,505;-54332,57813
1270;37,819;21,13675;48030,13;60239,7375;37,819;-19,08325;48030,13;-54387,2625
1275;37,821;21,2119375;48221,775;60454,02188;37,821;-19,1025625;48221,775;-54442,30313
1280;37,823;21,288;48413,44;60670,8;37,823;-19,122;48413,44;-54497,7
1285;37,825;21,3649375;48605,125;60890,07188;37,825;-19,1415625;48605,125;-54553,45313
1290;37,827;21,44275;48796,83;61111,8375;37,827;-19,16125;48796,83;-54609,5625
1295;37,829;21,5214375;48988,555;61336,09688;37,829;-19,1810625;48988,555;-54666,02813
1300;37,831;21,601;49180,3;61562,85;37,831;-19,201;49180,3;-54722,85
1305;37,833;21,6814375;49372,065;61792,09688;37,833;-19,2210625;49372,065;-54780,02813
1310;37,835;21,76275;49563,85;62023,8375;37,835;-19,24125;49563,85;-54837,5625
1315;37,837;21,8449375;49755,655;62258,07188;37,837;-19,2615625;49755,655;-54895,45313
1320;37,839;21,928;49947,48;62494,8;37,839;-19,282;49947,48;-54953,7
1325;37,841;22,0119375;50139,325;62734,02188;37,841;-19,3025625;50139,325;-55012,30313
1330;37,843;22,09675;50331,19;62975,7375;37,843;-19,32325;50331,19;-55071,2625
1335;37,845;22,1824375;50523,075;63219,94688;37,845;-19,3440625;50523,075;-55130,57813
1340;37,847;22,269;50714,98;63466,65;37,847;-19,365;50714,98;-55190,25
1345;37,849;22,3564375;50906,905;63715,84688;37,849;-19,3860625;50906,905;-55250,27813
1350;37,851;22,44475;51098,85;63967,5375;37,851;-19,40725;51098,85;-55310,6625
1355;37,853;22,5339375;51290,815;64221,72188;37,853;-19,4285625;51290,815;-55371,40313
1360;37,855;22,624;51482,8;64478,4;37,855;-19,45;51482,8;-55432,5
1365;37,857;22,7149375;51674,805;64737,57188;37,857;-19,4715625;51674,805;-55493,95313
1370;37,859;22,80675;51866,83;64999,2375;37,859;-19,49325;51866,83;-55555,7625
1375;37,861;22,8994375;52058,875;65263,39688;37,861;-19,5150625;52058,875;-55617,92813
1380;37,863;22,993;52250,94;65530,05;37,863;-19,537;52250,94;-55680,45
1385;37,865;23,0874375;52443,025;65799,19688;37,865;-19,5590625;52443,025;-55743,32813
1390;37,867;23,18275;52635,13;66070,8375;37,867;-19,58125;52635,13;-55806,5625
1395;37,869;23,2789375;52827,255;66344,97188;37,869;-19,6035625;52827,255;-55870,15313
1400;37,871;23,376;53019,4;66621,6;37,871;-19,626;53019,4;-55934,1
1405;37,873;23,4739375;53211,565;66900,72188;37,873;-19,6485625;53211,565;-55998,40313
1410;37,875;23,57275;53403,75;67182,3375;37,875;-19,67125;53403,75;-56063,0625
1415;37,877;23,6724375;53595,955;67466,44688;37,877;-19,6940625;53595,955;-56128,07813
1420;37,879;23,773;53788,18;67753,05;37,879;-19,717;53788,18;-56193,45
1425;37,881;23,8744375;53980,425;68042,14688;37,881;-19,7400625;53980,425;-56259,17813
1430;37,883;23,97675;54172,69;68333,7375;37,883;-19,76325;54172,69;-56325,2625
1435;37,885;24,0799375;54364,975;68627,82188;37,885;-19,7865625;54364,975;-56391,70313
1440;37,887;24,184;54557,28;68924,4;37,887;-19,81;54557,28;-56458,5
1445;37,889;24,2889375;54749,605;69223,47188;37,889;-19,8335625;54749,605;-56525,65313
1450;37,891;24,39475;54941,95;69525,0375;37,891;-19,85725;54941,95;-56593,1625
1455;37,893;24,5014375;55134,315;69829,09688;37,893;-19,8810625;55134,315;-56661,02813
1460;37,895;24,609;55326,7;70135,65;37,895;-19,905;55326,7;-56729,25
1465;37,897;24,7174375;55519,105;70444,69688;37,897;-19,9290625;55519,105;-56797,82813
1470;37,899;24,82675;55711,53;70756,2375;37,899;-19,95325;55711,53;-56866,7625
1475;37,901;24,82675;55903,975;70756,2375;37,901;-19,95325;55903,975;-56866,7625
1480;37,903;24,82675;56096,44;70756,2375;37,903;-19,95325;56096,44;-56866,7625
