Kg_Fuel;Trim tank  X-arm;T_MOMENT_X
10;58,837104;588,37104
20;58,837216;1176,74432
30;58,837336;1765,12008
40;58,837464;2353,49856
50;58,8376;2941,88
60;58,837744;3530,26464
70;58,837896;4118,65272
80;58,838056;4707,04448
90;58,838224;5295,44016
100;58,8384;5883,84
110;58,838584;6472,24424
120;58,838776;7060,65312
130;58,838976;7649,06688
140;58,839184;8237,48576
150;58,8394;8825,91
160;58,839624;9414,33984
170;58,839856;10002,77552
180;58,840096;10591,21728
190;58,840344;11179,66536
200;58,8406;11768,12
210;58,840864;12356,58144
220;58,841136;12945,04992
230;58,841416;13533,52568
240;58,841704;14122,00896
250;58,842;14710,5
260;58,842304;15298,99904
270;58,842616;15887,50632
280;58,842936;16476,02208
290;58,843264;17064,54656
300;58,8436;17653,08
310;58,843944;18241,62264
320;58,844296;18830,17472
330;58,844656;19418,73648
340;58,845024;20007,30816
350;58,8454;20595,89
360;58,845784;21184,48224
370;58,846176;21773,08512
380;58,846576;22361,69888
390;58,846984;22950,32376
400;58,8474;23538,96
410;58,847824;24127,60784
420;58,848256;24716,26752
430;58,848696;25304,93928
440;58,849144;25893,62336
450;58,8496;26482,32
460;58,850064;27071,02944
470;58,850536;27659,75192
480;58,851016;28248,48768
490;58,851504;28837,23696
500;58,852;29426
510;58,852504;30014,77704
520;58,853016;30603,56832
530;58,853536;31192,37408
540;58,854064;31781,19456
550;58,8546;32370,03
560;58,855144;32958,88064
570;58,855696;33547,74672
580;58,856256;34136,62848
590;58,856824;34725,52616
600;58,8574;35314,44
610;58,857984;35903,37024
620;58,858576;36492,31712
630;58,859176;37081,28088
640;58,859784;37670,26176
650;58,8604;38259,26
660;58,861024;38848,27584
670;58,861656;39437,30952
680;58,862296;40026,36128
690;58,862944;40615,43136
700;58,8636;41204,52
710;58,864264;41793,62744
720;58,864936;42382,75392
730;58,865616;42971,89968
740;58,866304;43561,06496
750;58,867;44150,25
760;58,867704;44739,45504
770;58,868416;45328,68032
780;58,869136;45917,92608
790;58,869864;46507,19256
800;58,8706;47096,48
810;58,871344;47685,78864
820;58,872096;48275,11872
830;58,872856;48864,47048
840;58,873624;49453,84416
850;58,8744;50043,24
860;58,875184;50632,65824
870;58,875976;51222,09912
880;58,876776;51811,56288
890;58,877584;52401,04976
900;58,8784;52990,56
910;58,879224;53580,09384
920;58,880056;54169,65152
930;58,880896;54759,23328
940;58,881744;55348,83936
950;58,8826;55938,47
960;58,883464;56528,12544
970;58,884336;57117,80592
980;58,885216;57707,51168
990;58,886104;58297,24296
1000;58,887;58887
1010;58,887904;59476,78304
1020;58,888816;60066,59232
1030;58,889736;60656,42808
1040;58,890664;61246,29056
1050;58,8916;61836,18
1060;58,892544;62426,09664
1070;58,893496;63016,04072
1080;58,894456;63606,01248
1090;58,895424;64196,01216
1100;58,8964;64786,04
1110;58,897384;65376,09624
1120;58,898376;65966,18112
1130;58,899376;66556,29488
1140;58,900384;67146,43776
1150;58,9014;67736,61
1160;58,902424;68326,81184
1170;58,903456;68917,04352
1180;58,904496;69507,30528
1190;58,905544;70097,59736
1200;58,9066;70687,92
1210;58,907664;71278,27344
1220;58,908736;71868,65792
1230;58,909816;72459,07368
1240;58,910904;73049,52096
1250;58,912;73640
1260;58,913104;74230,51104
1270;58,914216;74821,05432
1280;58,915336;75411,63008
1290;58,916464;76002,23856
1300;58,9176;76592,88
1310;58,918744;77183,55464
1320;58,919896;77774,26272
1330;58,921056;78365,00448
1340;58,922224;78955,78016
1350;58,9234;79546,59
1360;58,924584;80137,43424
1370;58,925776;80728,31312
1380;58,926976;81319,22688
1390;58,928184;81910,17576
1400;58,9294;82501,16
1410;58,930624;83092,17984
1420;58,931856;83683,23552
1430;58,933096;84274,32728
1440;58,934344;84865,45536
1450;58,9356;85456,62
1460;58,936864;86047,82144
1470;58,938136;86639,05992
1480;58,939416;87230,33568
1490;58,940704;87821,64896
1500;58,942;88413
1510;58,943304;89004,38904
1520;58,944616;89595,81632
1530;58,945936;90187,28208
1540;58,947264;90778,78656
1550;58,9486;91370,33
1560;58,949944;91961,91264
1570;58,951296;92553,53472
1580;58,952656;93145,19648
1590;58,954024;93736,89816
1600;58,9554;94328,64
1610;58,956784;94920,42224
1620;58,958176;95512,24512
1630;58,959576;96104,10888
1640;58,960984;96696,01376
1650;58,9624;97287,96
1660;58,963824;97879,94784
1670;58,965256;98471,97752
1680;58,966696;99064,04928
1690;58,968144;99656,16336
1700;58,9696;100248,32
1710;58,971064;100840,5194
1720;58,972536;101432,7619
1730;58,974016;102025,0477
1740;58,975504;102617,377
1750;58,977;103209,75
1760;58,978504;103802,167
1770;58,980016;104394,6283
1780;58,981536;104987,1341
1790;58,983064;105579,6846
1800;58,9846;106172,28
1810;58,986144;106764,9206
1820;58,987696;107357,6067
1830;58,989256;107950,3385
