Position;Average X-Arm (m);Average Y-Arm (m);"Symmetric Max 
Weight (kg) 5%";"Symmetric Max 
Weight (kg) 10%";"Asymmetric Max 
Weight (kg) 5%";"Asymmetric Max 
Weight (kg) 10%";Allowerd Size Pallet;Bodega
ABR;16,236;-1,232;2200;2000;1760;1600;125x96;MD
ABL;16,236;1,232;2200;2000;2640;2400;125x96;MD
BCR;19,436;-1,232;2584;2358;3101;2830;125x96;MD
BCL;19,436;1,232;2584;2358;2067;1887;125x96;MD
CER;22,637;-1,232;2629;2400;2103;1920;125x96;MD
CEL;22,637;1,232;2629;2400;3155;2881;125x96;MD
EFR;25,837;-1,232;3884;3825;4661;4591;125x96;MD
EFL;25,837;1,232;3884;3825;3108;3060;125x96;MD
FHR;29,037;-1,232;4321;4321;3457;3457;125x96;MD
FHL;29,037;1,232;4321;4321;5185;5185;125x96;MD
HJR;32,238;-1,232;4321;4321;5185;5185;125x96;MD
HJL;32,238;1,232;4321;4321;3457;3457;125x96;MD
JKR;35,438;-1,232;4321;4321;3457;3457;125x96;MD
JKL;35,438;1,232;4321;4321;5185;5185;125x96;MD
KMR;38,639;-1,232;3229;2964;3875;3557;125x96;MD
KML;38,639;1,232;3229;2964;2583;2371;125x96;MD
MPR;41,864;-1,232;3042;2756;2433;2205;125x96;MD
MPL;41,864;1,232;3042;2756;3650;3307;125x96;MD
ABR;16,236;-1,13;2200;2000;1760;1600;125X88;MD
ABL;16,236;1,13;2200;2000;2640;2400;125X88;MD
BCR;19,436;-1,13;2584;2358;3101;2830;125X88;MD
BCL;19,436;1,13;2584;2358;2067;1887;125X88;MD
CER;22,637;-1,13;2629;2400;2103;1920;125X88;MD
CEL;22,637;1,13;2629;2400;3155;2881;125X88;MD
EFR;25,837;-1,13;3884;3825;4661;4591;125X88;MD
EFL;25,837;1,13;3884;3825;3108;3060;125X88;MD
FHR;29,037;-1,13;4321;4321;3457;3457;125X88;MD
FHL;29,037;1,13;4321;4321;5185;5185;125X88;MD
HJR;32,238;-1,13;4321;4321;5185;5185;125X88;MD
HJL;32,238;1,13;4321;4321;3457;3457;125X88;MD
JKR;35,438;-1,13;4321;4321;3457;3457;125X88;MD
JKL;35,438;1,13;4321;4321;5185;5185;125X88;MD
KMR;38,639;-1,13;3229;2964;3875;3557;125X88;MD
KML;38,639;1,13;3229;2964;2583;2371;125X88;MD
MPR;41,864;-1,13;3042;2756;2433;2205;125X88;MD
MPL;41,864;1,13;3042;2756;3650;3307;125X88;MD
PRR;45,09;-1,13;2915;2629;3498;3155;125X88;MD
PRL;45,09;1,13;2915;2629;2332;2103;125X88;MD
A;15,766;0;3109;2826;3109;2826;88x125;MD
B;18,026;0;3427;3123;3427;3123;88x125;MD
C;20,287;0;3714;3391;3714;3391;88x125;MD
D;22,548;0;3714;3391;3714;3391;88x125;MD
E;24,808;0;4855;4687;4855;4687;88x125;MD
F;27,069;0;6033;6033;6033;6033;88x125;MD
G;29,329;0;6033;6033;6033;6033;88x125;MD
H;31,59;0;6033;6033;6033;6033;88x125;MD
J;33,851;0;6033;6033;6033;6033;88x125;MD
K;36,111;0;5976;5945;5976;5945;88x125;MD
L;38,372;0;4441;4037;4441;4037;88x125;MD
M;40,632;0;4441;4037;4441;4037;88x125;MD
P;42,893;0;4128;3725;4128;3725;88x125;MD
R;45,56;0;4118;3714;4118;3714;88x125;MD
S;48,024;0;4118;3714;4118;3714;88x125;MD
T;50,488;0;3386;3059;3386;3059;88x125;MD
U;52,951;0;2799;2541;2799;2541;88x125;MD
AA;15,867;0;3388;3080;3388;3080;96x125;MD
BB;18,331;0;3760;3428;3760;3428;96x125;MD
CC;20,795;0;4048;3696;4048;3696;96x125;MD
DD;23,258;0;4048;3696;4048;3696;96x125;MD
EE;25,722;0;5670;5670;5670;5670;96x125;MD
FF;28,186;0;5670;5670;5670;5670;96x125;MD
GG;30,65;0;5670;5670;5670;5670;96x125;MD
HH;33,114;0;5670;5670;5670;5670;96x125;MD
JJ;35,578;0;5670;5670;5670;5670;96x125;MD
KK;38,067;0;5179;4822;5179;4822;96x125;MD
LL;40,531;0;4840;4400;4840;4400;96x125;MD
MM;42,994;0;4531;4091;4531;4091;96x125;MD
PP;45,458;0;4488;4048;4488;4048;96x125;MD
RR;47,922;0;4488;4048;4488;4048;96x125;MD
SS;50,386;0;3752;3389;3752;3389;96x125;MD
TT;52,85;0;3096;2809;3096;2809;96x125;MD
AB;16,236;0;3429;3429;3429;3429;125x96;MD
BC;19,436;0;3941;3941;3941;3941;125x96;MD
CE;22,637;0;4001;4001;4001;4001;125x96;MD
EF;25,837;0;6804;6804;6804;6804;125x96;MD
FH;29,037;0;6804;6804;6804;6804;125x96;MD
HJ;32,238;0;6804;6804;6804;6804;125x96;MD
JK;35,438;0;6804;6804;6804;6804;125x96;MD
KM;38,639;0;4868;4868;4868;4868;125x96;MD
MP;41,864;0;4445;4445;4445;4445;125x96;MD
CFR;23,608;0;7729;7729;7729;7729;196x96 (16ft);MD
FJR;29,793;0;10668;10668;10668;10668;196x96 (16ft);MD
JLR;34,905;0;10668;10668;10668;10668;196x96 (16ft);MD
LPR;40,016;0;6236;6236;6236;6236;196x96 (16ft);MD
CFG;24,119;0;10602;10602;10602;10602;238,5x96 (20ft);MD
FJG;30,304;0;11340;11340;11340;11340;238,5x96 (20ft);MD
JLG;36,488;0;11340;11340;11340;11340;238,5x96 (20ft);MD
12P;17,444;0;5103;5103;5103;5103;96x125;LDF
13P;19,908;0;5103;5103;5103;5103;96x125;LDF
21P;22,372;0;5103;5103;5103;5103;96x125;LDF
22P;24,836;0;5103;5103;5103;5103;96x125;LDF
12P;17,546;0;4626;4626;4626;4626;88x125;LDF
13P;20,01;0;4626;4626;4626;4626;88x125;LDF
21P;22,473;0;4626;4626;4626;4626;88x125;LDF
22P;24,937;0;4626;4626;4626;4626;88x125;LDF
11;15,433;0;3174;3174;3174;3174;60,4x125;LDF
12;17,195;0;3174;3174;3174;3174;60,4x125;LDF
13;18,778;0;3174;3174;3174;3174;60,4x125;LDF
14;20,36;0;3174;3174;3174;3174;60,4x125;LDF
21;22,123;0;3174;3174;3174;3174;60,4x125;LDF
22;23,705;0;3174;3174;3174;3174;60,4x125;LDF
23;25,288;0;3174;3174;3174;3174;60,4x125;LDF
11R;15,433;-0,806;1587;1587;1587;1587;60,4x61,5;LDF
12R;17,195;-0,806;1587;1587;1587;1587;60,4x61,5;LDF
13R;18,778;-0,806;1587;1587;1587;1587;60,4x61,5;LDF
14R;20,36;-0,806;1587;1587;1587;1587;60,4x61,5;LDF
21R;22,123;-0,806;1587;1587;1587;1587;60,4x61,5;LDF
22R;23,705;-0,806;1587;1587;1587;1587;60,4x61,5;LDF
23R;25,288;-0,806;1587;1587;1587;1587;60,4x61,5;LDF
11L;15,433;0,806;1587;1587;1587;1587;60,4x61,5;LDF
12L;17,195;0,806;1587;1587;1587;1587;60,4x61,5;LDF
13L;18,778;0,806;1587;1587;1587;1587;60,4x61,5;LDF
14L;20,36;0,806;1587;1587;1587;1587;60,4x61,5;LDF
21L;22,123;0,806;1587;1587;1587;1587;60,4x61,5;LDF
22L;23,705;0,806;1587;1587;1587;1587;60,4x61,5;LDF
23L;25,288;0,806;1587;1587;1587;1587;60,4x61,5;LDF
31P;38,059;0;5103;5103;5103;5103;96x125;LDA
