Kg_Fuel;Inner Tank LH X-arm;Inner Tank LH Y-arm;Moment_X_ILH;Moment_Y_ILH;Inner Tank RH X-arm;Inner Tank RH Y-arm;Moment_X_IRH;Moment_Y_IRH
25;30,60250125;3,44795125;765,0625313;86,19878125;30,60250125;-3,44795125;765,0625313;-86,19878125
50;30,602005;3,449205;1530,10025;172,46025;30,602005;-3,449205;1530,10025;-172,46025
75;30,60151125;3,45046125;2295,113344;258,7845938;30,60151125;-3,45046125;2295,113344;-258,7845938
100;30,60102;3,45172;3060,102;345,172;30,60102;-3,45172;3060,102;-345,172
125;30,60053125;3,45298125;3825,066406;431,6226563;30,60053125;-3,45298125;3825,066406;-431,6226563
150;30,600045;3,454245;4590,00675;518,13675;30,600045;-3,454245;4590,00675;-518,13675
175;30,59956125;3,45551125;5354,923219;604,7144688;30,59956125;-3,45551125;5354,923219;-604,7144688
200;30,59908;3,45678;6119,816;691,356;30,59908;-3,45678;6119,816;-691,356
225;30,59860125;3,45805125;6884,685281;778,0615313;30,59860125;-3,45805125;6884,685281;-778,0615313
250;30,598125;3,459325;7649,53125;864,83125;30,598125;-3,459325;7649,53125;-864,83125
275;30,59765125;3,46060125;8414,354094;951,6653438;30,59765125;-3,46060125;8414,354094;-951,6653438
300;30,59718;3,46188;9179,154;1038,564;30,59718;-3,46188;9179,154;-1038,564
325;30,59671125;3,46316125;9943,931156;1125,527406;30,59671125;-3,46316125;9943,931156;-1125,527406
350;30,596245;3,464445;10708,68575;1212,55575;30,596245;-3,464445;10708,68575;-1212,55575
375;30,59578125;3,46573125;11473,41797;1299,649219;30,59578125;-3,46573125;11473,41797;-1299,649219
400;30,59532;3,46702;12238,128;1386,808;30,59532;-3,46702;12238,128;-1386,808
425;30,59486125;3,46831125;13002,81603;1474,032281;30,59486125;-3,46831125;13002,81603;-1474,032281
450;30,594405;3,469605;13767,48225;1561,32225;30,594405;-3,469605;13767,48225;-1561,32225
475;30,59395125;3,47090125;14532,12684;1648,678094;30,59395125;-3,47090125;14532,12684;-1648,678094
500;30,5935;3,4722;15296,75;1736,1;30,5935;-3,4722;15296,75;-1736,1
525;30,59305125;3,47350125;16061,35191;1823,588156;30,59305125;-3,47350125;16061,35191;-1823,588156
550;30,592605;3,474805;16825,93275;1911,14275;30,592605;-3,474805;16825,93275;-1911,14275
575;30,59216125;3,47611125;17590,49272;1998,763969;30,59216125;-3,47611125;17590,49272;-1998,763969
600;30,59172;3,47742;18355,032;2086,452;30,59172;-3,47742;18355,032;-2086,452
625;30,59128125;3,47873125;19119,55078;2174,207031;30,59128125;-3,47873125;19119,55078;-2174,207031
650;30,590845;3,480045;19884,04925;2262,02925;30,590845;-3,480045;19884,04925;-2262,02925
675;30,59041125;3,48136125;20648,52759;2349,918844;30,59041125;-3,48136125;20648,52759;-2349,918844
700;30,58998;3,48268;21412,986;2437,876;30,58998;-3,48268;21412,986;-2437,876
725;30,58955125;3,48400125;22177,42466;2525,900906;30,58955125;-3,48400125;22177,42466;-2525,900906
750;30,589125;3,485325;22941,84375;2613,99375;30,589125;-3,485325;22941,84375;-2613,99375
775;30,58870125;3,48665125;23706,24347;2702,154719;30,58870125;-3,48665125;23706,24347;-2702,154719
800;30,58828;3,48798;24470,624;2790,384;30,58828;-3,48798;24470,624;-2790,384
825;30,58786125;3,48931125;25234,98553;2878,681781;30,58786125;-3,48931125;25234,98553;-2878,681781
850;30,587445;3,490645;25999,32825;2967,04825;30,587445;-3,490645;25999,32825;-2967,04825
875;30,58703125;3,49198125;26763,65234;3055,483594;30,58703125;-3,49198125;26763,65234;-3055,483594
900;30,58662;3,49332;27527,958;3143,988;30,58662;-3,49332;27527,958;-3143,988
925;30,58621125;3,49466125;28292,24541;3232,561656;30,58621125;-3,49466125;28292,24541;-3232,561656
950;30,585805;3,496005;29056,51475;3321,20475;30,585805;-3,496005;29056,51475;-3321,20475
975;30,58540125;3,49735125;29820,76622;3409,917469;30,58540125;-3,49735125;29820,76622;-3409,917469
1000;30,585;3,4987;30585;3498,7;30,585;-3,4987;30585;-3498,7
