Position;Order;Max_Weight;Average X-Arm (m)
11;1;5242,19434;16,203
11L;1;5242,19434;16,203
11R;1;5242,19434;16,203
A;2;7116,364151;16,883
AA;3;7675,858962;17,086
ABR;4;9703,396226;17,823
ABL;4;9703,396226;17,823
AB;4;9703,396226;17,823
12;5;10091,88679;17,965
12L;5;10091,88679;17,965
12R;5;10091,88679;17,965
12P;6;12009,71698;18,666
B;7;13296,46226;19,144
BB;8;14382,68868;19,548
13;8;14382,68868;19,548
13L;8;14382,68868;19,548
13R;9;14388,06604;19,55
BCR;10;18232,81471;21,023
BCL;10;18232,81471;21,023
BC;10;18232,81471;21,023
13P;11;18459,83027;21,13
C;11;18459,83027;21,13
14;11;18459,83027;21,13
14L;11;18459,83027;21,13
14R;12;19041,15983;21,404
CC;13;20335,36068;22,014
21;14;22200,28289;22,893
21L;14;22200,28289;22,893
21R;14;22200,28289;22,893
21P;15;23564,81132;23,594
D;16;23702,12264;23,665
CE;17;24783,20755;24,224
CER;17;24783,20755;24,224
CEL;17;24783,20755;24,224
DD;18;25268,63208;24,475
CFR;18;25268,63208;24,475
22;18;25268,63208;24,475
22L;19;25274,43396;24,478
22R;20;28195,28302;25,925
CFG;21;28471,32075;26,058
E;21;28471,32075;26,058
22P;21;28471,32075;26,058
23;21;28471,32075;26,058
23L;22;28552,26415;26,097
23R;23;30366,41721;26,941
EE;24;30811,78672;27,148
EFR;25;31405,61272;27,424
EFL;26;30900;27,424
EF;26;30900;27,424
F;26;30900;28,186
