%MAC; Pitch Trim 
15;9
15,1;8,97
15,2;8,93
15,3;8,9
15,4;8,87
15,5;8,83
15,6;8,8
15,7;8,77
15,8;8,73
15,9;8,7
16;8,67
16,1;8,63
16,2;8,6
16,3;8,57
16,4;8,53
16,5;8,5
16,6;8,47
16,7;8,43
16,8;8,4
16,9;8,37
17;8,33
17,1;8,3
17,2;8,27
17,3;8,23
17,4;8,2
17,5;8,17
17,6;8,13
17,7;8,1
17,8;8,07
17,9;8,03
18;8
18,1;7,97
18,2;7,93
18,3;7,9
18,4;7,87
18,5;7,83
18,6;7,8
18,7;7,77
18,8;7,73
18,9;7,7
19;7,67
19,1;7,63
19,2;7,6
19,3;7,57
19,4;7,53
19,5;7,5
19,6;7,47
19,7;7,43
19,8;7,4
19,9;7,37
20;7,33
20,1;7,3
20,2;7,27
20,3;7,23
20,4;7,2
20,5;7,17
20,6;7,13
20,7;7,1
20,8;7,07
20,9;7,03
21;7
21,1;6,97
21,2;6,93
21,3;6,9
21,4;6,87
21,5;6,83
21,6;6,8
21,7;6,77
21,8;6,73
21,9;6,7
22;6,67
22,1;6,63
22,2;6,6
22,3;6,57
22,4;6,53
22,5;6,5
22,6;6,47
22,7;6,43
22,8;6,4
22,9;6,37
23;6,33
23,1;6,3
23,2;6,27
23,3;6,23
23,4;6,2
23,5;6,17
23,6;6,13
23,7;6,1
23,8;6,07
23,9;6,03
24;6
24,1;5,97
24,2;5,93
24,3;5,9
24,4;5,87
24,5;5,83
24,6;5,8
24,7;5,77
24,8;5,73
24,9;5,7
25;5,67
25,1;5,63
25,2;5,6
25,3;5,57
25,4;5,53
25,5;5,5
25,6;5,47
25,7;5,43
25,8;5,4
25,9;5,37
26;5,33
26,1;5,3
26,2;5,27
26,3;5,23
26,4;5,2
26,5;5,17
26,6;5,13
26,7;5,1
26,8;5,07
26,9;5,03
27;5
27,1;4,97
27,2;4,93
27,3;4,9
27,4;4,87
27,5;4,83
27,6;4,8
27,7;4,77
27,8;4,73
27,9;4,7
28;4,67
28,1;4,63
28,2;4,6
28,3;4,57
28,4;4,53
28,5;4,5
28,6;4,47
28,7;4,43
28,8;4,4
28,9;4,37
29;4,33
29,1;4,3
29,2;4,27
29,3;4,23
29,4;4,2
29,5;4,17
29,6;4,13
29,7;4,1
29,8;4,07
29,9;4,03
30;4
30,1;3,98
30,2;3,95
30,3;3,93
30,4;3,9
30,5;3,88
30,6;3,85
30,7;3,83
30,8;3,8
30,9;3,78
31;3,75
31,1;3,73
31,2;3,7
31,3;3,68
31,4;3,65
31,5;3,63
31,6;3,6
31,7;3,58
31,8;3,55
31,9;3,53
32;3,5
32,1;3,47
32,2;3,43
32,3;3,4
32,4;3,37
32,5;3,33
32,6;3,3
32,7;3,27
32,8;3,23
32,9;3,2
33;3,17
33,1;3,13
33,2;3,1
33,3;3,07
33,4;3,03
33,5;3
33,6;2,97
33,7;2,93
33,8;2,9
33,9;2,87
34;2,83
34,1;2,8
34,2;2,77
34,3;2,73
34,4;2,7
34,5;2,67
34,6;2,63
34,7;2,6
34,8;2,57
34,9;2,53
35;2,5
35,1;2,47
35,2;2,43
35,3;2,4
35,4;2,37
35,5;2,33
35,6;2,3
35,7;2,27
35,8;2,23
35,9;2,2
36;2,17
36,1;2,13
36,2;2,1
36,3;2,07
36,4;2,03
36,5;2
36,6;1,97
36,7;1,93
36,8;1,9
36,9;1,87
37;1,83
37,1;1,8
37,2;1,77
37,3;1,73
37,4;1,7
37,5;1,67
37,6;1,63
37,7;1,6
37,8;1,57
37,9;1,53
38;1,5
38,1;1,5
38,2;1,5
38,3;1,5
38,4;1,5
38,5;1,5
38,6;1,5
38,7;1,5
38,8;1,5
38,9;1,5
39;1,5
39,1;1,5
39,2;1,5
39,3;1,5
39,4;1,5
39,5;1,5
39,6;1,5
39,7;1,5
39,8;1,5
39,9;1,5
40;1,5
