Kg_Fuel;Trim tank  X-arm;T_MOMENT_X
50;58,837;2941,85
100;58,837;5883,7
150;58,837;8825,55
200;58,837;11767,4
250;58,837;14709,25
300;58,837;17651,1
350;58,837;20592,95
400;58,837;23534,8
450;58,837;26476,65
500;58,837;29418,5
550;58,837;32360,35
600;58,837;35302,2
650;58,837;38244,05
700;58,837;41185,9
750;58,837;44127,75
800;58,837;47069,6
850;58,837;50011,45
900;58,837;52953,3
950;58,837;55895,15
1000;58,837;58837
1050;58,837;61778,85
1100;58,837;64720,7
1150;58,837;67662,55
1200;58,837;70604,4
1250;58,837;73546,25
1300;58,837;76488,1
1350;58,837;79429,95
1400;58,837;82371,8
1450;58,837;85313,65
1500;58,837;88255,5
1550;58,837;91197,35
1600;58,837;94139,2
1650;58,837;97081,05
1700;58,837;100022,9
1750;58,837;102964,75
1800;58,837;105906,6
1850;58,837;108848,45
1900;58,837;111790,3
1950;58,837;114732,15
2000;58,837;117674
2050;58,837;120615,85
2100;58,837;123557,7
2150;58,837;126499,55
2200;58,837;129441,4
2250;58,837;132383,25
2300;58,837;135325,1
2350;58,837;138266,95
2400;58,837;141208,8
2450;58,837;144150,65
2500;58,837;147092,5
2550;58,837;150034,35
2600;58,837;152976,2
2650;58,837;155918,05
2700;58,837;158859,9
2750;58,837;161801,75
2800;58,837;164743,6
2850;58,837;167685,45
2900;58,837;170627,3
2950;58,837;173569,15
3000;58,837;176511
3050;58,837;179452,85
3100;58,837;182394,7
3150;58,837;185336,55
3200;58,837;188278,4
3250;58,837;191220,25
3300;58,837;194162,1
3350;58,837;197103,95
3400;58,837;200045,8
3450;58,837;202987,65
3500;58,837;205929,5
3550;58,837;208871,35
3600;58,837;211813,2
3650;58,837;214755,05
3700;58,837;217696,9
3750;58,837;220638,75
3800;58,837;223580,6
3850;58,837;226522,45
3900;58,837;229464,3
3950;58,837;232406,15
4000;58,837;235348
4050;58,837;238289,85
4100;58,837;241231,7
4150;58,837;244173,55
4200;58,837;247115,4
4250;58,837;250057,25
4300;58,837;252999,1
4350;58,837;255940,95
4400;58,837;258882,8
4450;58,837;261824,65
4500;58,837;264766,5
4550;58,837;267708,35
4600;58,837;270650,2
4650;58,837;273592,05
4700;58,837;276533,9
4750;58,837;279475,75
4800;58,837;282417,6
4850;58,837;285359,45
4900;58,837;288301,3
4950;58,837;291243,15
5000;58,837;294185
5050;58,837;297126,85
5100;58,837;300068,7
5150;58,837;303010,55
5200;58,837;305952,4
5250;58,837;308894,25
5300;58,837;311836,1
5350;58,837;314777,95
5400;58,837;317719,8
5450;58,837;320661,65
5500;58,837;323603,5
5550;58,837;326545,35
5600;58,837;329487,2
5650;58,837;332429,05
5700;58,837;335370,9
5750;58,837;338312,75
5800;58,837;341254,6
5850;58,837;344196,45
5900;58,837;347138,3
5950;58,837;350080,15
6000;58,837;353022
6050;58,837;355963,85
6100;58,837;358905,7
6150;58,837;361847,55
6200;58,837;364789,4
6250;58,837;367731,25
6300;58,837;370673,1
6350;58,837;373614,95
6400;58,837;376556,8
6450;58,837;379498,65
6500;58,837;382440,5
