Position;Average_X-Arm_(m);Average_Y-Arm_(m);Symmetric_Max_Weight_(kg)_5%;Symmetric_Max_Weight_(kg)_10%;Asymmetric_Max_Weight_(kg)_5%;Asymmetric_Max_Weight_(kg)_10%;Allowerd_Size_Pallet;Pallet_Base_size_Allowed;Bodega;Temp_Restriction_Symmetric;Temp_Restriction_Asymmetric
CFG;24,119;0,0;10601,81;10601,81;10601,81;10601,81;96x317.5 (20 ft);G;MD;0,0;0,0
FJG;30,304;0,0;11339,8;11339,8;11339,8;11339,8;96x317.5 (20 ft);G;MD;0,0;0,0
JLG;36,438;0,0;11339,8;11339,8;11339,8;11339,8;96x317.5 (20 ft);G;MD;0,0;0,0
CFR;23,582;0,0;7728,75;7728,75;7728,75;7728,75;96x238.5 (16 ft);R;MD;0,0;0,0
FJR;29,792;0,0;10667,58;10667,58;10667,58;10667,58;96x238.5 (16 ft);R;MD;0,0;0,0
JLR;34,904;0,0;10667,58;10667,58;10667,58;10667,58;96x238.5 (16 ft);R;MD;0,0;0,0
LPR;40,016;0,0;6235,98;6235,98;6235,98;6235,98;96x238.5 (16 ft);R;MD;0,0;0,0
C;20,286;0,0;3713,56;3390,6;3713,56;3390,6;88x125;A;MD;0,0;0,0
D;22,547;0,0;3713,56;3390,6;3713,56;3390,6;88x125;A;MD;0,0;0,0
E;24,808;0,0;4854,8;4686,97;4854,8;4686,97;88x125;A;MD;;
F;27,068;0,0;6032,77;6032,77;6032,77;6032,77;88x125;A;MD;0,0;0,0
G;29,329;0,0;6032,77;6032,77;6032,77;6032,77;88x125;A;MD;0,0;0,0
J;33,85;0,0;6032,77;6032,77;6032,77;6032,77;88x125;A;MD;0,0;0,0
K;36,111;0,0;5975,62;5944,78;5975,62;5944,78;88x125;A;MD;0,0;0,0
L;38,371;0,0;4440,67;4036,97;4440,67;4036,97;88x125;A;MD;0,0;0,0
M;40,632;0,0;4440,67;4036,97;4440,67;4036,97;88x125;A;MD;0,0;0,0
P;42,892;0,0;4127,69;3724,9;4127,69;3724,9;88x125;A;MD;0,0;0,0
R;45,559;0,0;4117,71;3713,56;4117,71;3713,56;88x125;A;MD;0,0;0,0
S;48,023;0,0;4117,71;3713,56;4117,71;3713,56;88x125;A;MD;0,0;0,0
T;50,487;0,0;3385,61;3058,57;3385,61;3058,57;88x125;A;MD;0,0;0,0
U;52,951;0,0;2798,66;2540,57;2798,66;2540,57;88x125;A;MD;0,0;0,0
ABR;16,235;1,232;2199,9212;1999,887128;1759,94;1599,82;88x125;A;MD;0,0;0,0
ABR;16,235;1,232;2199,9212;1999,887128;1759,94;1599,82;96x125 (SBS);M;MD;0,0;0,0
ABL;16,235;-1,232;2199,9212;1999,887128;2639,91;2399,96;88x125;A;MD;0,0;0,0
ABL;16,235;-1,232;2199,9212;1999,887128;2639,91;2399,96;96x125 (SBS);M;MD;0,0;0,0
BCR;19,436;1,232;2584,113624;2357,771216;3100,75;2829,96;88x125;A;MD;0,0;0,0
BCR;19,436;1,232;2584,113624;2357,771216;3100,75;2829,96;96x125 (SBS);M;MD;0,0;0,0
BCL;19,436;-1,232;2584,113624;2357,771216;2067,02;1886,94;88x125;A;MD;0,0;0,0
BCL;19,436;-1,232;2584,113624;2357,771216;2067,02;1886,94;96x125 (SBS);M;MD;0,0;0,0
CER;22,636;1,232;2629,019232;2399,955272;2102,85;1920,05;88x125;A;MD;0,0;0,0
CER;22,636;1,232;2629,019232;2399,955272;2102,85;1920,05;96x125 (SBS);M;MD;0,0;0,0
CEL;22,636;-1,232;2629,019232;2399,955272;3155,19;2837,67;88x125;A;MD;0,0;0,0
CEL;22,636;-1,232;2629,019232;2399,955272;3155,19;2837,67;96x125 (SBS);M;MD;0,0;0,0
EFR;25,836;1,232;3884,108296;3825,141336;4661,11;4590,8;88x125;A;MD;0,0;0,0
EFR;25,836;1,232;3884,108296;3825,141336;4661,11;4590,8;96x125 (SBS);M;MD;0,0;0,0
EFL;25,836;-1,232;3884,108296;3825,141336;3108,01;3059,93;88x125;A;MD;0,0;0,0
EFL;25,836;-1,232;3884,108296;3825,141336;3108,01;3059,93;96x125 (SBS);M;MD;0,0;0,0
FHR;29,037;1,232;4320,917392;4320,917392;3456,82;3456,82;88x125;A;MD;0,0;0,0
FHR;29,037;1,232;4320,917392;4320,917392;3456,82;3456,82;96x125 (SBS);M;MD;0,0;0,0
FHL;29,037;-1,232;4320,917392;4320,917392;5185,01;5185,01;88x125;A;MD;0,0;0,0
FHL;29,037;-1,232;4320,917392;4320,917392;5185,01;5185,01;96x125 (SBS);M;MD;0,0;0,0
HJR;32,237;1,232;4320,917392;4320,917392;5185,01;5185,01;88x125;A;MD;0,0;0,0
HJR;32,237;1,232;4320,917392;4320,917392;5185,01;5185,01;96x125 (SBS);M;MD;0,0;0,0
HJL;32,237;-1,232;4320,917392;4320,917392;3456,82;3456,82;88x125;A;MD;0,0;0,0
HJL;32,237;-1,232;4320,917392;4320,917392;3456,82;3456,82;96x125 (SBS);M;MD;0,0;0,0
JKR;35,438;1,232;4320,917392;4320,917392;3456,82;3456,82;88x125;A;MD;0,0;0,0
JKR;35,438;1,232;4320,917392;4320,917392;3456,82;3456,82;96x125 (SBS);M;MD;0,0;0,0
JKL;35,438;-1,232;4320,917392;4320,917392;5185,01;5185,01;88x125;A;MD;0,0;0,0
JKL;35,438;-1,232;4320,917392;4320,917392;5185,01;5185,01;96x125 (SBS);M;MD;0,0;0,0
KMR;38,638;1,232;3229,121448;2963,770128;3875,04;3557,07;88x125;A;MD;0,0;0,0
KMR;38,638;1,232;3229,121448;2963,770128;3875,04;3557,07;96x125 (SBS);M;MD;0,0;0,0
KML;38,638;-1,232;3229,121448;2963,770128;2582,75;2370,93;88x125;A;MD;0,0;0,0
KML;38,638;-1,232;3229,121448;2963,770128;2582,75;2370,93;96x125 (SBS);M;MD;0,0;0,0
MPR;41,864;1,232;3041,787952;2756,024992;2433,07;2204,91;88x125;A;MD;0,0;0,0
MPR;41,864;1,232;3041,787952;2756,024992;2433,07;2204,91;96x125 (SBS);M;MD;0,0;0,0
MPL;41,864;-1,232;3041,787952;2756,024992;3650,05;3307,14;88x125;A;MD;0,0;0,0
MPL;41,864;-1,232;3041,787952;2756,024992;3650,05;3307,14;96x125 (SBS);M;MD;0,0;0,0
PRR;45,09;1,13;2914,782192;2628,56564;3497,647912;3154,73236;88x125;A;MD;0,0;0,0
PRR;45,09;1,13;2914,782192;2628,56564;3497,647912;3154,73236;96x125 (SBS);M;MD;0,0;0,0
PRL;45,09;-1,13;2914,782192;2628,56564;2331,916472;2102,852512;88x125;A;MD;0,0;0,0
PRL;45,09;-1,13;2914,782192;2628,56564;2331,916472;2102,852512;96x125 (SBS);M;MD;0,0;0,0
A;15,765;0,0;3108,92;2825,88;3108,92;2825,88;88x125;A;MD;0,0;0,0
B;18,026;0,0;3426,89;3122,98;3426,89;3122,98;88x125;A;MD;0,0;0,0
EF;25,836;0,0;6803,88;6803,88;6803,88;6803,88;96x125;M;MD;0,0;0,0
FH;29,037;0,0;6803,88;6803,88;6803,88;6803,88;96x125;M;MD;0,0;0,0
HJ;32,237;0,0;6803,88;6803,88;6803,88;6803,88;96x125;M;MD;0,0;0,0
JK;35,438;0,0;6803,88;6803,88;6803,88;6803,88;96x125;M;MD;0,0;0,0
KM;38,638;0,0;4867,95;4867,95;4867,95;4867,95;96x125;M;MD;0,0;0,0
MP;41,864;0,0;4444,75;4444,75;4444,75;4444,75;96x125;M;MD;0,0;0,0
AA;15,867;0,0;3387,88;3079,89;3387,88;3079,89;96x125;M;MD;0,0;0,0
BB;18,331;0,0;3759,82;3427,79;3759,82;3427,79;96x125;M;MD;0,0;0,0
CC;20,794;0,0;4047,86;3695,87;4047,86;3695,87;96x125;M;MD;0,0;0,0
DD;23,258;0,0;4047,86;3695,87;4047,86;3695,87;96x125;M;MD;0,0;0,0
EE;25,722;0,0;5669,9;5669,9;5669,9;5669,9;96x125;M;MD;0,0;0,0
FF;28,186;0,0;5669,9;5669,9;5669,9;5669,9;96x125;M;MD;0,0;0,0
GG;30,65;0,0;5669,9;5669,9;5669,9;5669,9;96x125;M;MD;0,0;0,0
HH;33,113;0,0;5669,9;5669,9;5669,9;5669,9;96x125;M;MD;0,0;0,0
JJ;35,577;0,0;5669,9;5669,9;5669,9;5669,9;96x125;M;MD;0,0;0,0
KK;38,066;0,0;5178,66;4821,68;5178,66;4821,68;96x125;M;MD;0,0;0,0
LL;40,53;0,0;4839,83;4399,84;4839,83;4399,84;96x125;M;MD;0,0;0,0
MM;42,994;0,0;4530,93;4090,95;4530,93;4090,95;96x125;M;MD;0,0;0,0
PP;45,458;0,0;4487,839248;4047,855008;4487,84;4047,86;96x125;M;MD;0,0;0,0
RR;47,922;0,0;4487,839248;4047,855008;4487,84;4047,86;88x125;A;MD;0,0;0,0
SS;50,385;0,0;3751,659432;3388,785832;3751,66;3388,79;88x125;A;MD;0,0;0,0
TT;52,849;0,0;3095,7654;2808,641664;3095,77;2808,64;88x125;A;MD;0,0;0,0
ABR;16,235;1,232;2199,9212;1999,887128;1759,94;1599,82;88x125;A;MD;0,0;0,0
ABR;16,235;1,232;2199,9212;1999,887128;1759,94;1599,82;96x125 (SBS);M;MD;0,0;0,0
ABL;16,235;-1,232;2199,9212;1999,887128;2639,91;2399,96;88x125;A;MD;0,0;0,0
ABL;16,235;-1,232;2199,9212;1999,887128;2639,91;2399,96;96x125 (SBS);M;MD;0,0;0,0
BCR;19,436;1,232;2584,113624;2357,771216;3100,75;2829,96;88x125;A;MD;0,0;0,0
BCR;19,436;1,232;2584,113624;2357,771216;3100,75;2829,96;96x125 (SBS);M;MD;0,0;0,0
BCL;19,436;-1,232;2584,113624;2357,771216;2067,02;1886,94;88x125;A;MD;0,0;0,0
BCL;19,436;-1,232;2584,113624;2357,771216;2067,02;1886,94;96x125 (SBS);M;MD;0,0;0,0
