Contour;Number ULD;ULD Final Destination;Weight (KGS);Pieces;Notes;Pallet Base Size;Baseplate Code;Posiciones Sugeridas;Posición Asignada;X-arm;Y-arm;Momento X;Momento Y;Bodega;Rotated
BULK;PMC393146R;MVD;1284,0;105,0;PEF;96x125;M;['52', '53'];53;50.002;0.0;64202.568;0.0;BULK;False
CL;PMH37019QT;EZE;5436,0;1,0;;96x125;M;['EF', 'FH', 'HJ', 'JK'];JK;35.438;0.0;192640.968;0.0;MD;False
LD;PMC393586R;MVD;1354,0;25,0;RSC UN3088 CAO RCM RFL RFS RMD RPB ELI;96x125;M;['12P', '13P', '21P', '22P', '31P', '32P', '41P', '42P'];41P;43.1;0.0;58357.4;0.0;LDA;False
LD;PMC40957QT;MVD;1290,0;9,0;;96x125;M;['12P', '13P', '21P', '22P', '31P', '32P', '41P', '42P'];12P;17.546;0.0;22634.34;0.0;LDF;False
LD;PMC41294QT;EZE;1544,0;7,0;PER;96x125;M;['12P', '13P', '21P', '22P', '31P', '32P', '41P', '42P'];21P;22.473;0.0;34698.312;0.0;LDF;False
LD;PMC41732QT;EZE;1324,0;16,0;RNG UN3164 71A RMD RCL ALE CRT;96x125;M;['AB', 'BC', 'CE', 'EF', 'FH', 'HJ', 'JK', 'KM', 'MP'];AB;16.235;0.0;21495.14;0.0;MD;False
LD;PMC42425QT;EZE;2562,0;22,0;RMD CAO RBI;96x125;M;['12P', '13P', '21P', '22P', '31P', '32P', '41P', '42P'];31P;37.958;0.0;97248.396;0.0;LDA;False
LD;PMC42576QT;EZE;2336,0;8,0;ELI CAO RCM;96x125;M;['12P', '13P', '21P', '22P', '31P', '32P', '41P', '42P'];22P;24.937;0.0;58252.832;0.0;LDF;False
LD;PMC43132QT;MVD;1536,0;19,0;ELI;96x125;M;['12P', '13P', '21P', '22P', '31P', '32P', '41P', '42P'];32P;40.421;0.0;62086.656;0.0;LDA;False
LD;PMC43277QT;EZE;3838,0;1,0;;96x125;M;['12P', '13P', '21P', '22P', '31P', '32P', '41P', '42P'];42P;45.36;0.0;174091.68;0.0;LDA;False
P9;PLA11358FF;MVD;918,0;6,0;CAO RFS RFW ROX UN1328 UN1426 UN1502;88x125;A;['11', '12', '13', '14', '21', '22', '23', '31', '32', '33', '41', '42', '43'];11;15.433;0.0;14167.494;0.0;LDF;False
PRL;PAJ207676R;EZE;1388,0;12,0;ELI;88x125;A;['PRL'];;;;;;;False
PRR;PAJ59627QT;EZE;1910,0;18,0;ELI;88x125;A;['PRR'];PRR;45.09;1.13;86121.9;2158.3;MD;False
RR;PMC390036R;EZE;1238,0;10,0;;96x125;M;['RR'];RR;47.922;0.0;59327.436;0.0;MD;False
SBS;PMC40780QT;MVD;1696,0;26,0;ELI;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];CER;22.636;1.232;38390.656;2089.472;MD;False
SBS;PMC40949QT;EZE;1824,0;14,0;;96x125;M;['ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];BCR;19.436;1.232;35451.264;2247.168;MD;False
SBS;PMC41100QT;EZE;1474,0;3,0;MACHO SIMPLE X IZQUIERDA ENTRA PRIMERO ELI;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', '11L', '11R', '12L', '12R', '13L', '13R', '14L', '14R', '21L', '21R', '22L', '22R', '23L', '23R', '31L', '31R', '32L', '32R', '33L', '33R', '41L', '41R', '42L', '42R', '43L', '43R'];14L;20.36;0.806;30010.64;1188.044;LDF;False
SBS;PMC41689QT;EZE;1616,0;19,0;ELI;96x125;M;['ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABR', 'ABR', 'ABL', 'ABL', 'BCR', 'BCR', 'BCL', 'BCL', 'CER', 'CER', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];CEL;22.636;-1.232;36579.776;-1990.912;MD;False
SBS;PMC41940QT;EZE;2182,0;12,0;0794 2PZ;96x125;M;['ABL', 'ABL', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHR', 'FHR', 'FHL', 'FHL', 'HJR', 'HJR', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL', 'PRR', 'PRR', 'PRL', 'PRL', 'ABL', 'ABL', 'BCR', 'BCR', 'CEL', 'CEL', 'EFR', 'EFR', 'EFL', 'EFL', 'FHL', 'FHL', 'HJL', 'HJL', 'JKR', 'JKR', 'JKL', 'JKL', 'KMR', 'KMR', 'KML', 'KML', 'MPR', 'MPR', 'MPL', 'MPL'];MPR;41.864;1.232;91347.248;2688.224;MD;False
