Fuel_kg;Outer Tank LH;Inner Tank LH;Central Tank;Inner Tank RH;Outer Tank RH;Trim Tank;MOMENT-X;MOMENT-Y;CG;%MAC
50,0;0,0;25,0;0,0;25,0;0,0;0,0;1533,8;0,0;30,7;-9,1
100,0;0,0;50,0;0,0;50,0;0,0;0,0;3067,5;0,0;30,7;-9,1
150,0;0,0;75,0;0,0;75,0;0,0;0,0;4601,3;0,0;30,7;-9,1
200,0;0,0;100,0;0,0;100,0;0,0;0,0;6135,0;0,0;30,7;-9,1
250,0;0,0;125,0;0,0;125,0;0,0;0,0;7668,8;0,0;30,7;-9,1
300,0;0,0;150,0;0,0;150,0;0,0;0,0;9202,5;0,0;30,7;-9,1
350,0;0,0;175,0;0,0;175,0;0,0;0,0;10736,3;0,0;30,7;-9,1
400,0;0,0;200,0;0,0;200,0;0,0;0,0;12270,0;0,0;30,7;-9,1
450,0;0,0;225,0;0,0;225,0;0,0;0,0;13803,8;0,0;30,7;-9,1
500,0;0,0;250,0;0,0;250,0;0,0;0,0;15337,5;0,0;30,7;-9,1
550,0;0,0;275,0;0,0;275,0;0,0;0,0;16871,3;0,0;30,7;-9,1
600,0;0,0;300,0;0,0;300,0;0,0;0,0;18405,0;0,0;30,7;-9,1
650,0;0,0;325,0;0,0;325,0;0,0;0,0;19937,6;0,0;30,7;-9,1
700,0;0,0;350,0;0,0;350,0;0,0;0,0;21468,4;0,0;30,7;-9,2
750,0;0,0;375,0;0,0;375,0;0,0;0,0;22998,8;0,0;30,7;-9,3
800,0;0,0;400,0;0,0;400,0;0,0;0,0;24528,8;0,0;30,7;-9,3
850,0;0,0;425,0;0,0;425,0;0,0;0,0;26058,4;0,0;30,7;-9,4
900,0;0,0;450,0;0,0;450,0;0,0;0,0;27587,6;0,0;30,7;-9,4
950,0;0,0;475,0;0,0;475,0;0,0;0,0;29116,4;0,0;30,6;-9,5
1000,0;0,0;500,0;0,0;500,0;0,0;0,0;30644,8;0,0;30,6;-9,5
1050,0;0,0;525,0;0,0;525,0;0,0;0,0;32172,8;0,0;30,6;-9,6
1100,0;0,0;550,0;0,0;550,0;0,0;0,0;33700,3;0,0;30,6;-9,6
1150,0;0,0;575,0;0,0;575,0;0,0;0,0;35227,5;0,0;30,6;-9,7
1200,0;0,0;600,0;0,0;600,0;0,0;0,0;36754,3;0,0;30,6;-9,8
1250,0;0,0;625,0;0,0;625,0;0,0;0,0;38280,6;0,0;30,6;-9,8
1300,0;0,0;650,0;0,0;650,0;0,0;0,0;39804,4;0,0;30,6;-9,9
1350,0;0,0;675,0;0,0;675,0;0,0;0,0;41327,2;0,0;30,6;-10,0
1400,0;0,0;700,0;0,0;700,0;0,0;0,0;42849,5;0,0;30,6;-10,1
1450,0;0,0;725,0;0,0;725,0;0,0;0,0;44371,2;0,0;30,6;-10,1
1500,0;0,0;750,0;0,0;750,0;0,0;0,0;45892,3;0,0;30,6;-10,2
1550,0;0,0;775,0;0,0;775,0;0,0;0,0;47412,8;0,0;30,6;-10,3
1600,0;0,0;800,0;0,0;800,0;0,0;0,0;48932,7;0,0;30,6;-10,4
1650,0;0,0;825,0;0,0;825,0;0,0;0,0;50452,0;0,0;30,6;-10,5
1700,0;0,0;850,0;0,0;850,0;0,0;0,0;51970,7;0,0;30,6;-10,6
1750,0;0,0;875,0;0,0;875,0;0,0;0,0;53488,8;0,0;30,6;-10,6
1800,0;0,0;900,0;0,0;900,0;0,0;0,0;55006,3;0,0;30,6;-10,7
1850,0;0,0;925,0;0,0;925,0;0,0;0,0;56523,2;0,0;30,6;-10,8
1900,0;0,0;950,0;0,0;950,0;0,0;0,0;58041,5;0,0;30,5;-10,9
1950,0;0,0;975,0;0,0;975,0;0,0;0,0;59563,8;0,0;30,5;-10,9
2000,0;0,0;1000,0;0,0;1000,0;0,0;0,0;61085,8;0,0;30,5;-10,9
2050,0;0,0;1025,0;0,0;1025,0;0,0;0,0;62607,6;0,0;30,5;-11,0
2100,0;0,0;1050,0;0,0;1050,0;0,0;0,0;64129,1;0,0;30,5;-11,0
2150,0;0,0;1075,0;0,0;1075,0;0,0;0,0;65650,3;0,0;30,5;-11,0
2200,0;0,0;1100,0;0,0;1100,0;0,0;0,0;67171,3;0,0;30,5;-11,1
2250,0;0,0;1125,0;0,0;1125,0;0,0;0,0;68692,0;0,0;30,5;-11,1
2300,0;0,0;1150,0;0,0;1150,0;0,0;0,0;70212,4;0,0;30,5;-11,2
2350,0;0,0;1175,0;0,0;1175,0;0,0;0,0;71732,6;0,0;30,5;-11,2
2400,0;0,0;1200,0;0,0;1200,0;0,0;0,0;73252,5;0,0;30,5;-11,2
2450,0;0,0;1225,0;0,0;1225,0;0,0;0,0;74772,2;0,0;30,5;-11,3
2500,0;0,0;1250,0;0,0;1250,0;0,0;0,0;76291,6;0,0;30,5;-11,3
2550,0;0,0;1275,0;0,0;1275,0;0,0;0,0;77813,9;0,0;30,5;-11,3
2600,0;0,0;1300,0;0,0;1300,0;0,0;0,0;79337,2;0,0;30,5;-11,3
2650,0;0,0;1325,0;0,0;1325,0;0,0;0,0;80860,4;0,0;30,5;-11,3
2700,0;0,0;1350,0;0,0;1350,0;0,0;0,0;82383,5;0,0;30,5;-11,4
2750,0;0,0;1375,0;0,0;1375,0;0,0;0,0;83906,5;0,0;30,5;-11,4
2800,0;0,0;1400,0;0,0;1400,0;0,0;0,0;85429,4;0,0;30,5;-11,4
2850,0;0,0;1425,0;0,0;1425,0;0,0;0,0;86952,2;0,0;30,5;-11,4
2900,0;0,0;1450,0;0,0;1450,0;0,0;0,0;88474,9;0,0;30,5;-11,4
2950,0;0,0;1475,0;0,0;1475,0;0,0;0,0;89997,5;0,0;30,5;-11,4
3000,0;0,0;1500,0;0,0;1500,0;0,0;0,0;91520,0;0,0;30,5;-11,4
3050,0;0,0;1525,0;0,0;1525,0;0,0;0,0;93042,4;0,0;30,5;-11,4
3100,0;0,0;1550,0;0,0;1550,0;0,0;0,0;94564,8;0,0;30,5;-11,5
3150,0;0,0;1575,0;0,0;1575,0;0,0;0,0;96087,4;0,0;30,5;-11,5
3200,0;0,0;1600,0;0,0;1600,0;0,0;0,0;97611,6;0,0;30,5;-11,5
3250,0;0,0;1625,0;0,0;1625,0;0,0;0,0;99135,7;0,0;30,5;-11,5
3300,0;0,0;1650,0;0,0;1650,0;0,0;0,0;100659,8;0,0;30,5;-11,5
3350,0;0,0;1675,0;0,0;1675,0;0,0;0,0;102183,9;0,0;30,5;-11,5
3400,0;0,0;1700,0;0,0;1700,0;0,0;0,0;103708,0;0,0;30,5;-11,5
3450,0;0,0;1725,0;0,0;1725,0;0,0;0,0;105232,0;0,0;30,5;-11,5
3500,0;0,0;1750,0;0,0;1750,0;0,0;0,0;106756,0;0,0;30,5;-11,5
3550,0;0,0;1775,0;0,0;1775,0;0,0;0,0;108279,9;0,0;30,5;-11,5
3600,0;0,0;1800,0;0,0;1800,0;0,0;0,0;109803,9;0,0;30,5;-11,5
3650,0;0,0;1825,0;0,0;1825,0;0,0;0,0;111327,7;0,0;30,5;-11,5
3700,0;0,0;1850,0;0,0;1850,0;0,0;0,0;112851,6;0,0;30,5;-11,5
3750,0;0,0;1875,0;0,0;1875,0;0,0;0,0;114375,4;0,0;30,5;-11,5
3800,0;0,0;1900,0;0,0;1900,0;0,0;0,0;115900,2;0,0;30,5;-11,5
3850,0;0,0;1925,0;0,0;1925,0;0,0;0,0;117425,5;0,0;30,5;-11,5
3900,0;0,0;1950,0;0,0;1950,0;0,0;0,0;118950,8;0,0;30,5;-11,5
3950,0;0,0;1975,0;0,0;1975,0;0,0;0,0;120476,1;0,0;30,5;-11,5
4000,0;0,0;2000,0;0,0;2000,0;0,0;0,0;122001,5;0,0;30,5;-11,5
4050,0;0,0;2025,0;0,0;2025,0;0,0;0,0;123526,8;0,0;30,5;-11,5
4100,0;0,0;2050,0;0,0;2050,0;0,0;0,0;125052,2;0,0;30,5;-11,5
4150,0;0,0;2075,0;0,0;2075,0;0,0;0,0;126577,5;0,0;30,5;-11,5
4200,0;0,0;2100,0;0,0;2100,0;0,0;0,0;128102,9;0,0;30,5;-11,5
4250,0;0,0;2125,0;0,0;2125,0;0,0;0,0;129628,3;0,0;30,5;-11,5
4300,0;0,0;2150,0;0,0;2150,0;0,0;0,0;131153,6;0,0;30,5;-11,5
4350,0;0,0;2175,0;0,0;2175,0;0,0;0,0;132679,0;0,0;30,5;-11,5
4400,0;0,0;2200,0;0,0;2200,0;0,0;0,0;134204,4;0,0;30,5;-11,5
4450,0;0,0;2225,0;0,0;2225,0;0,0;0,0;135729,8;0,0;30,5;-11,5
4500,0;0,0;2250,0;0,0;2250,0;0,0;0,0;137255,2;0,0;30,5;-11,5
4550,0;0,0;2275,0;0,0;2275,0;0,0;0,0;138780,7;0,0;30,5;-11,5
4600,0;0,0;2300,0;0,0;2300,0;0,0;0,0;140306,1;0,0;30,5;-11,5
4650,0;0,0;2325,0;0,0;2325,0;0,0;0,0;141831,5;0,0;30,5;-11,5
4700,0;0,0;2350,0;0,0;2350,0;0,0;0,0;143357,0;0,0;30,5;-11,5
4750,0;0,0;2375,0;0,0;2375,0;0,0;0,0;144882,4;0,0;30,5;-11,5
4800,0;0,0;2400,0;0,0;2400,0;0,0;0,0;146407,9;0,0;30,5;-11,5
4850,0;0,0;2425,0;0,0;2425,0;0,0;0,0;147933,4;0,0;30,5;-11,5
4900,0;0,0;2450,0;0,0;2450,0;0,0;0,0;149458,8;0,0;30,5;-11,5
4950,0;0,0;2475,0;0,0;2475,0;0,0;0,0;150984,3;0,0;30,5;-11,5
5000,0;0,0;2500,0;0,0;2500,0;0,0;0,0;152509,8;0,0;30,5;-11,5
5050,0;0,0;2525,0;0,0;2525,0;0,0;0,0;154036,1;0,0;30,5;-11,5
5100,0;0,0;2550,0;0,0;2550,0;0,0;0,0;155563,3;0,0;30,5;-11,5
5150,0;0,0;2575,0;0,0;2575,0;0,0;0,0;157090,5;0,0;30,5;-11,5
5200,0;0,0;2600,0;0,0;2600,0;0,0;0,0;158617,7;0,0;30,5;-11,5
5250,0;0,0;2625,0;0,0;2625,0;0,0;0,0;160144,9;0,0;30,5;-11,5
5300,0;0,0;2650,0;0,0;2650,0;0,0;0,0;161672,2;0,0;30,5;-11,5
5350,0;0,0;2675,0;0,0;2675,0;0,0;0,0;163199,6;0,0;30,5;-11,5
5400,0;0,0;2700,0;0,0;2700,0;0,0;0,0;164727,0;0,0;30,5;-11,5
5450,0;0,0;2725,0;0,0;2725,0;0,0;0,0;166254,4;0,0;30,5;-11,5
5500,0;0,0;2750,0;0,0;2750,0;0,0;0,0;167781,8;0,0;30,5;-11,4
5550,0;0,0;2775,0;0,0;2775,0;0,0;0,0;169309,3;0,0;30,5;-11,4
5600,0;0,0;2800,0;0,0;2800,0;0,0;0,0;170836,9;0,0;30,5;-11,4
5650,0;0,0;2825,0;0,0;2825,0;0,0;0,0;172364,5;0,0;30,5;-11,4
5700,0;0,0;2850,0;0,0;2850,0;0,0;0,0;173892,1;0,0;30,5;-11,4
5750,0;0,0;2875,0;0,0;2875,0;0,0;0,0;175419,7;0,0;30,5;-11,4
5800,0;0,0;2900,0;0,0;2900,0;0,0;0,0;176947,4;0,0;30,5;-11,4
5850,0;0,0;2925,0;0,0;2925,0;0,0;0,0;178475,2;0,0;30,5;-11,4
5900,0;0,0;2950,0;0,0;2950,0;0,0;0,0;180002,9;0,0;30,5;-11,4
5950,0;0,0;2975,0;0,0;2975,0;0,0;0,0;181530,8;0,0;30,5;-11,4
6000,0;0,0;3000,0;0,0;3000,0;0,0;0,0;183058,6;0,0;30,5;-11,4
6050,0;0,0;3025,0;0,0;3025,0;0,0;0,0;184586,5;0,0;30,5;-11,4
6100,0;0,0;3050,0;0,0;3050,0;0,0;0,0;186114,5;0,0;30,5;-11,4
6150,0;0,0;3075,0;0,0;3075,0;0,0;0,0;187642,4;0,0;30,5;-11,4
6200,0;0,0;3100,0;0,0;3100,0;0,0;0,0;189170,5;0,0;30,5;-11,4
6250,0;0,0;3125,0;0,0;3125,0;0,0;0,0;190698,5;0,0;30,5;-11,4
6300,0;0,0;3150,0;0,0;3150,0;0,0;0,0;192226,2;0,0;30,5;-11,4
6350,0;0,0;3175,0;0,0;3175,0;0,0;0,0;193753,3;0,0;30,5;-11,4
6400,0;0,0;3200,0;0,0;3200,0;0,0;0,0;195280,5;0,0;30,5;-11,4
6450,0;0,0;3225,0;0,0;3225,0;0,0;0,0;196807,6;0,0;30,5;-11,4
6500,0;0,0;3250,0;0,0;3250,0;0,0;0,0;198334,8;0,0;30,5;-11,3
6550,0;0,0;3275,0;0,0;3275,0;0,0;0,0;199862,0;0,0;30,5;-11,3
6600,0;0,0;3300,0;0,0;3300,0;0,0;0,0;201389,3;0,0;30,5;-11,3
6650,0;0,0;3325,0;0,0;3325,0;0,0;0,0;202916,6;0,0;30,5;-11,3
6700,0;0,0;3350,0;0,0;3350,0;0,0;0,0;204443,8;0,0;30,5;-11,3
6750,0;0,0;3375,0;0,0;3375,0;0,0;0,0;205971,2;0,0;30,5;-11,3
6800,0;0,0;3400,0;0,0;3400,0;0,0;0,0;207498,5;0,0;30,5;-11,3
6850,0;0,0;3425,0;0,0;3425,0;0,0;0,0;209025,9;0,0;30,5;-11,3
6900,0;0,0;3450,0;0,0;3450,0;0,0;0,0;210553,2;0,0;30,5;-11,3
6950,0;0,0;3475,0;0,0;3475,0;0,0;0,0;212082,5;0,0;30,5;-11,3
7000,0;0,0;3500,0;0,0;3500,0;0,0;0,0;213612,2;0,0;30,5;-11,3
7050,0;0,0;3525,0;0,0;3525,0;0,0;0,0;215141,9;0,0;30,5;-11,3
7100,0;0,0;3550,0;0,0;3550,0;0,0;0,0;216671,7;0,0;30,5;-11,3
7150,0;0,0;3575,0;0,0;3575,0;0,0;0,0;218201,5;0,0;30,5;-11,3
7200,0;0,0;3600,0;0,0;3600,0;0,0;0,0;219731,4;0,0;30,5;-11,3
7250,0;0,0;3625,0;0,0;3625,0;0,0;0,0;221261,4;0,0;30,5;-11,3
7300,0;0,0;3650,0;0,0;3650,0;0,0;0,0;222791,4;0,0;30,5;-11,3
7350,0;0,0;3675,0;0,0;3675,0;0,0;0,0;224321,5;0,0;30,5;-11,3
7400,0;0,0;3700,0;0,0;3700,0;0,0;0,0;225851,6;0,0;30,5;-11,2
7450,0;0,0;3725,0;0,0;3725,0;0,0;0,0;227381,8;0,0;30,5;-11,2
7500,0;0,0;3750,0;0,0;3750,0;0,0;0,0;228912,0;0,0;30,5;-11,2
7550,0;0,0;3775,0;0,0;3775,0;0,0;0,0;230442,1;0,0;30,5;-11,2
7600,0;0,0;3800,0;0,0;3800,0;0,0;0,0;231971,8;0,0;30,5;-11,2
7650,0;0,0;3825,0;0,0;3825,0;0,0;0,0;233501,6;0,0;30,5;-11,2
7700,0;0,0;3850,0;0,0;3850,0;0,0;0,0;235031,5;0,0;30,5;-11,2
7750,0;0,0;3875,0;0,0;3875,0;0,0;0,0;236561,3;0,0;30,5;-11,2
7800,0;0,0;3900,0;0,0;3900,0;0,0;0,0;238091,3;0,0;30,5;-11,2
7850,0;0,0;3925,0;0,0;3925,0;0,0;0,0;239621,3;0,0;30,5;-11,2
7900,0;0,0;3950,0;0,0;3950,0;0,0;0,0;241151,3;0,0;30,5;-11,2
7950,0;0,0;3975,0;0,0;3975,0;0,0;0,0;242681,3;0,0;30,5;-11,2
8000,0;0,0;4000,0;0,0;4000,0;0,0;0,0;244211,5;0,0;30,5;-11,2
8050,0;0,0;4025,0;0,0;4025,0;0,0;0,0;245741,6;0,0;30,5;-11,2
8100,0;0,0;4050,0;0,0;4050,0;0,0;0,0;247271,8;0,0;30,5;-11,2
8150,0;0,0;4075,0;0,0;4075,0;0,0;0,0;248802,1;0,0;30,5;-11,1
8200,0;0,0;4100,0;0,0;4100,0;0,0;0,0;250332,0;0,0;30,5;-11,1
8250,0;0,0;4125,0;0,0;4125,0;0,0;0,0;251861,6;0,0;30,5;-11,1
8300,0;0,0;4150,0;0,0;4150,0;0,0;0,0;253391,4;0,0;30,5;-11,1
8350,0;0,0;4175,0;0,0;4175,0;0,0;0,0;254921,2;0,0;30,5;-11,1
8400,0;0,0;4200,0;0,0;4200,0;0,0;0,0;256451,0;0,0;30,5;-11,1
8450,0;0,0;4225,0;0,0;4225,0;0,0;0,0;257980,8;0,0;30,5;-11,1
8500,0;0,0;4250,0;0,0;4250,0;0,0;0,0;259510,7;0,0;30,5;-11,1
8550,0;0,0;4275,0;0,0;4275,0;0,0;0,0;261040,7;0,0;30,5;-11,1
8600,0;0,0;4300,0;0,0;4300,0;0,0;0,0;262570,7;0,0;30,5;-11,1
8650,0;0,0;4325,0;0,0;4325,0;0,0;0,0;264100,7;0,0;30,5;-11,1
8700,0;0,0;4350,0;0,0;4350,0;0,0;0,0;265630,7;0,0;30,5;-11,1
8750,0;0,0;4375,0;0,0;4375,0;0,0;0,0;267160,8;0,0;30,5;-11,1
8800,0;0,0;4400,0;0,0;4400,0;0,0;0,0;268691,1;0,0;30,5;-11,1
8850,0;0,0;4425,0;0,0;4425,0;0,0;0,0;270222,0;0,0;30,5;-11,1
8900,0;0,0;4450,0;0,0;4450,0;0,0;0,0;271752,9;0,0;30,5;-11,1
8950,0;0,0;4475,0;0,0;4475,0;0,0;0,0;273283,9;0,0;30,5;-11,1
9000,0;0,0;4500,0;0,0;4500,0;0,0;0,0;274814,9;0,0;30,5;-11,0
9050,0;25,0;4500,0;0,0;4500,0;25,0;0,0;276685,2;0,0;30,6;-10,5
9100,0;50,0;4500,0;0,0;4500,0;50,0;0,0;278556,1;0,0;30,6;-10,0
9150,0;75,0;4500,0;0,0;4500,0;75,0;0,0;280427,8;0,0;30,6;-9,5
9200,0;100,0;4500,0;0,0;4500,0;100,0;0,0;282300,0;0,0;30,7;-9,0
9250,0;125,0;4500,0;0,0;4500,0;125,0;0,0;284173,0;0,0;30,7;-8,5
9300,0;150,0;4500,0;0,0;4500,0;150,0;0,0;286046,7;0,0;30,8;-8,0
9350,0;175,0;4500,0;0,0;4500,0;175,0;0,0;287921,0;0,0;30,8;-7,5
9400,0;200,0;4500,0;0,0;4500,0;200,0;0,0;289796,1;0,0;30,8;-7,0
9450,0;225,0;4500,0;0,0;4500,0;225,0;0,0;291671,9;0,0;30,9;-6,5
9500,0;250,0;4500,0;0,0;4500,0;250,0;0,0;293548,4;0,0;30,9;-6,0
9550,0;275,0;4500,0;0,0;4500,0;275,0;0,0;295425,7;0,0;30,9;-5,5
9600,0;300,0;4500,0;0,0;4500,0;300,0;0,0;297303,7;0,0;31,0;-5,1
9650,0;325,0;4500,0;0,0;4500,0;325,0;0,0;299182,5;0,0;31,0;-4,6
9700,0;350,0;4500,0;0,0;4500,0;350,0;0,0;301062,0;0,0;31,0;-4,1
9750,0;375,0;4500,0;0,0;4500,0;375,0;0,0;302942,3;0,0;31,1;-3,7
9800,0;400,0;4500,0;0,0;4500,0;400,0;0,0;304823,5;0,0;31,1;-3,2
9850,0;425,0;4500,0;0,0;4500,0;425,0;0,0;306705,4;0,0;31,1;-2,8
9900,0;450,0;4500,0;0,0;4500,0;450,0;0,0;308588,1;0,0;31,2;-2,3
9950,0;475,0;4500,0;0,0;4500,0;475,0;0,0;310471,7;0,0;31,2;-1,9
10000,0;500,0;4500,0;0,0;4500,0;500,0;0,0;312356,0;0,0;31,2;-1,4
10050,0;525,0;4500,0;0,0;4500,0;525,0;0,0;314241,3;0,0;31,3;-1,0
10100,0;550,0;4500,0;0,0;4500,0;550,0;0,0;316127,3;0,0;31,3;-0,5
