Position;Order;Max_Weight;Average X-Arm (m)
HJ;36;39955;32,237
HH;37;39381;33,113
J;38;38786;33,85
JLR;39;38025;34,904
JKR;40;37521;35,438
JKL;40;37521;35,438
JK;40;37521;35,438
JJ;41;37390;35,577
K;42;36913;36,111
JLG;43;36523;36,438
31;44;33599;37,607
31L;45;33592;37,61
31R;45;33592;37,61
31P;46;32713;37,958
KK;47;32440;38,066
L;48;31683;38,371
KMR;49;31091;38,638
KML;49;31091;38,638
KM;49;31091;38,638
32;50;29866;39,19
32L;50;29866;39,19
32R;50;29866;39,19
LPR;51;28033;40,016
32P;52;27135;40,421
LL;53;26893;40,53
M;54;26667;40,632
33L;55;26360;40,77
33R;55;26360;40,77
33;56;26356;40,772
MPR;57;23746;41,864
MPL;57;23746;41,864
MP;57;23746;41,864
41;58;21595;42,749
41L;59;21593;42,75
41R;59;21593;42,75
P;60;21248;42,892
MM;61;21000;42,994
41P;62;20742;43,1
42L;63;17439;44,33
42R;63;17439;44,33
42;64;17433;44,332
PRR;65;15398;45,09
PRL;65;15398;45,09
42P;66;14763;45,36
PP;67;14562;45,458
R;68;14354;45,559
43L;69;13634;45,91
43R;69;13634;45,91
43;70;13626;45,914
51;71;10521;47,427
RR;72;9524;47,922
52;73;9465;47,957
S;74;9353;48,023
53;75;5991;50,002
SS;76;5341;50,385
T;77;5168;50,487
TT;78;2811;52,849
U;79;2687;52,951
