Position;Order;Max_Weight;Average X-Arm (m)
11;1;4015;15,433
11L;1;4015;15,433
11R;1;4015;15,433
A;2;4448;15,765
AA;3;4600;15,867
ABR;4;5149;16,235
ABL;4;5149;16,235
AB;4;5149;16,235
12;5;6582;17,195
12L;5;6582;17,195
12R;5;6582;17,195
12P;6;7105;17,546
B;7;7894;18,026
BB;8;8405;18,331
13;9;9163;18,778
13L;9;9163;18,778
13R;9;9163;18,778
BCR;10;10327;19,436
BCL;10;10327;19,436
BC;10;10327;19,436
13P;11;11343;20,01
C;12;11832;20,286
14;13;11963;20,36
14L;13;11963;20,36
14R;13;11963;20,36
CC;14;12731;20,794
21;15;16260;22,123
21L;15;16260;22,123
21R;15;16260;22,123
21P;16;17196;22,473
D;17;17394;22,547
CE;18;17631;22,635972
CER;19;17631;22,636
CEL;19;17631;22,636
DD;20;19282;23,258
CFR;21;20136;23,582
22;22;20460;23,705
22L;22;20460;23,705
22R;22;20460;23,705
CFG;23;21551;24,119
E;24;23366;24,808
22P;25;23706;24,937
23;26;24526;25,288
23L;26;24526;25,288
23R;26;24526;25,288
EE;27;25469;25,722
EFR;28;25717;25,836
EFL;28;25717;25,836
EF;28;25717;25,836
F;29;27587;27,068
