Kg_Fuel;Inner Tank LH X-arm;Inner Tank LH Y-arm;Moment_X_ILH;Moment_Y_ILH;Inner Tank RH X-arm;Inner Tank RH Y-arm;Moment_X_IRH;Moment_Y_IRH
25;30,675;-3,14;766,875;-78,5;30,675;3,14;766,875;78,5
50;30,675;-3,14;1533,75;-157;30,675;3,14;1533,75;157
75;30,675;-3,14;2300,625;-235,5;30,675;3,14;2300,625;235,5
100;30,675;-3,14;3067,5;-314;30,675;3,14;3067,5;314
125;30,675;-3,14;3834,375;-392,5;30,675;3,14;3834,375;392,5
150;30,675;-3,14;4601,25;-471;30,675;3,14;4601,25;471
175;30,675;-3,14;5368,125;-549,5;30,675;3,14;5368,125;549,5
200;30,675;-3,14;6135;-628;30,675;3,14;6135;628
225;30,675;-3,14;6901,875;-706,5;30,675;3,14;6901,875;706,5
250;30,675;-3,14;7668,75;-785;30,675;3,14;7668,75;785
275;30,675;-3,14;8435,625;-863,5;30,675;3,14;8435,625;863,5
300;30,675;-3,14;9202,5;-942;30,675;3,14;9202,5;942
325;30,67321338;-3,141926752;9968,794347;-1021,126194;30,67321338;3,141926752;9968,794347;1021,126194
350;30,66915287;-3,146305732;10734,2035;-1101,207006;30,66915287;3,146305732;10734,2035;1101,207006
375;30,66509236;-3,150684713;11499,40963;-1181,506768;30,66509236;3,150684713;11499,40963;1181,506768
400;30,66103185;-3,155063694;12264,41274;-1262,025478;30,66103185;3,155063694;12264,41274;1262,025478
425;30,65697134;-3,159442675;13029,21282;-1342,763137;30,65697134;3,159442675;13029,21282;1342,763137
450;30,65291083;-3,163821656;13793,80987;-1423,719745;30,65291083;3,163821656;13793,80987;1423,719745
475;30,64885032;-3,168200637;14558,2039;-1504,895303;30,64885032;3,168200637;14558,2039;1504,895303
500;30,64478981;-3,172579618;15322,3949;-1586,289809;30,64478981;3,172579618;15322,3949;1586,289809
525;30,6407293;-3,176958599;16086,38288;-1667,903264;30,6407293;3,176958599;16086,38288;1667,903264
550;30,63666879;-3,18133758;16850,16783;-1749,735669;30,63666879;3,18133758;16850,16783;1749,735669
575;30,63260828;-3,185716561;17613,74976;-1831,787022;30,63260828;3,185716561;17613,74976;1831,787022
600;30,62854777;-3,190095541;18377,12866;-1914,057325;30,62854777;3,190095541;18377,12866;1914,057325
625;30,62448726;-3,194474522;19140,30454;-1996,546576;30,62448726;3,194474522;19140,30454;1996,546576
650;30,61874522;-3,199133758;19902,18439;-2079,436943;30,61874522;3,199133758;19902,18439;2079,436943
675;30,61277389;-3,20383121;20663,62237;-2162,586067;30,61277389;3,20383121;20663,62237;2162,586067
700;30,60680255;-3,208528662;21424,76178;-2245,970064;30,60680255;3,208528662;21424,76178;2245,970064
725;30,60083121;-3,213226115;22185,60263;-2329,588933;30,60083121;3,213226115;22185,60263;2329,588933
