Kg_Fuel;Outer Tank LH X-arm;Outer Tank LH Y-arm;Moment_X_OLH;Moment_Y_OLH;Outer Tank RH X-arm;Outer Tank RH Y-arm;Moment_X_ORH;Moment_Y_ORH
25;37,40602988;-18,01030577;935,150747;-450,2576441;37,40602988;18,01030577;935,150747;450,2576441
50;37,41254774;-18,01998656;1870,627387;-900,9993278;37,41254774;18,01998656;1870,627387;900,9993278
75;37,4191316;-18,02982397;2806,43487;-1352,236798;37,4191316;18,02982397;2806,43487;1352,236798
100;37,42578145;-18,03981801;3742,578145;-1803,981801;37,42578145;18,03981801;3742,578145;1803,981801
125;37,43249731;-18,04996868;4679,062164;-2256,246084;37,43249731;18,04996868;4679,062164;2256,246084
150;37,43927917;-18,06027597;5615,891875;-2709,041395;37,43927917;18,06027597;5615,891875;2709,041395
175;37,44612703;-18,07073988;6553,07223;-3162,379479;37,44612703;18,07073988;6553,07223;3162,379479
200;37,45304088;-18,08136042;7490,608177;-3616,272084;37,45304088;18,08136042;7490,608177;3616,272084
225;37,46002074;-18,09213759;8428,504667;-4070,730957;37,46002074;18,09213759;8428,504667;4070,730957
250;37,4670666;-18,10307138;9366,76665;-4525,767844;37,4670666;18,10307138;9366,76665;4525,767844
275;37,47417846;-18,11416179;10305,39908;-4981,394492;37,47417846;18,11416179;10305,39908;4981,394492
300;37,48135631;-18,12540883;11244,40689;-5437,622649;37,48135631;18,12540883;11244,40689;5437,622649
325;37,48860017;-18,1368125;12183,79506;-5894,464061;37,48860017;18,1368125;12183,79506;5894,464061
350;37,49591003;-18,14837279;13123,56851;-6351,930475;37,49591003;18,14837279;13123,56851;6351,930475
375;37,50328589;-18,1600897;14063,73221;-6810,033638;37,50328589;18,1600897;14063,73221;6810,033638
400;37,51072774;-18,17196324;15004,2911;-7268,785296;37,51072774;18,17196324;15004,2911;7268,785296
425;37,5182356;-18,18399341;15945,25013;-7728,197197;37,5182356;18,18399341;15945,25013;7728,197197
450;37,52580946;-18,1961802;16886,61426;-8188,281088;37,52580946;18,1961802;16886,61426;8188,281088
475;37,53344932;-18,20852361;17828,38843;-8649,048715;37,53344932;18,20852361;17828,38843;8649,048715
500;37,54115517;-18,22102365;18770,57759;-9110,511825;37,54115517;18,22102365;18770,57759;9110,511825
525;37,54892703;-18,23368032;19713,18669;-9572,682166;37,54892703;18,23368032;19713,18669;9572,682166
550;37,55676489;-18,24649361;20656,22069;-10035,57148;37,55676489;18,24649361;20656,22069;10035,57148
575;37,56466875;-18,25946352;21599,68453;-10499,19152;37,56466875;18,25946352;21599,68453;10499,19152
600;37,5726386;-18,27259006;22543,58316;-10963,55404;37,5726386;18,27259006;22543,58316;10963,55404
625;37,58067446;-18,28587323;23487,92154;-11428,67077;37,58067446;18,28587323;23487,92154;11428,67077
650;37,58877632;-18,29931302;24432,70461;-11894,55346;37,58877632;18,29931302;24432,70461;11894,55346
675;37,59694418;-18,31290943;25377,93732;-12361,21387;37,59694418;18,31290943;25377,93732;12361,21387
700;37,60517803;-18,32666247;26323,62462;-12828,66373;37,60517803;18,32666247;26323,62462;12828,66373
